x,y,M1970,M2015,Mean,,,
93.5,24.75,2302.375038,2181.990043,120.384995,,,
93.75,24.75,2060.051466,1953.320041,106.731425,,Min=,-13.885394
94,24.75,1972.090748,1875.195593,96.895155,,Q1=,29.835356
93,25,2862.460047,2703.92838,158.531667,,Median=,59.984522
93.25,25,2439.250755,2317.057819,122.192936,,Q3=,87.198296
93.5,25,2274.612181,2161.230039,113.382142,,Max=,184.774442
93.75,25,2109.973608,2005.40226,104.571348,,,
94,25,2022.948963,1925.887258,97.061705,,,
94.25,25,1935.924318,1846.372255,89.552063,,,
94.5,25,1902.914318,1825.334477,77.579841,,,
92.75,25.25,3271.030053,3086.255611,184.774442,,,
93,25.25,2802.416476,2654.855601,147.560875,,,
93.25,25.25,2333.802899,2223.455591,110.347308,,,
93.5,25.25,2246.849324,2140.470035,106.379289,,,
93.75,25.25,2159.89575,2057.484479,102.411271,,,
94,25.25,2073.807178,1976.578922,97.228256,,,
94.25,25.25,1987.718606,1895.673366,92.04524,,,
94.5,25.25,1942.842892,1863.852254,78.990638,,,
92.5,25.5,3498.226845,3321.427279,176.799566,,,
92.75,25.5,3001.133622,2851.073385,150.060237,,,
93,25.5,2668.672546,2541.712266,126.96028,,,
93.25,25.5,2336.21147,2232.351147,103.860323,,,
93.5,25.5,2237.702181,2137.770035,99.932146,,,
93.75,25.5,2139.192892,2043.188924,96.003968,,,
94,25.5,2069.825034,1976.718924,93.10611,,,
94.25,25.5,2000.457177,1910.248925,90.208252,,,
94.5,25.5,1950.480391,1870.1467,80.333691,,,
94.75,25.5,1900.503606,1830.044475,70.459131,,,
89.75,25.75,2485.447186,2455.802268,29.644918,,,
90,25.75,2669.58362,2627.16116,42.42246,,,
92.25,25.75,3502.365774,3366.864498,135.501276,,,
92.5,25.75,3116.801483,2991.377828,125.423655,,,
92.75,25.75,2731.237192,2615.891159,115.346033,,,
93,25.75,2534.928617,2428.568931,106.359686,,,
93.25,25.75,2338.620041,2241.246703,97.373338,,,
93.5,25.75,2228.555038,2135.070036,93.485002,,,
93.75,25.75,2118.490035,2028.893368,89.596667,,,
94,25.75,2065.842891,1976.858926,88.983965,,,
94.25,25.75,2013.195748,1924.824484,88.371264,,,
94.5,25.75,1958.117891,1876.441146,81.676745,,,
94.75,25.75,1903.040034,1828.057809,74.982225,,,
95,25.75,1880.566461,1810.873363,69.693098,,,
89.25,26,2497.477186,2491.064489,6.412697,,,
89.5,26,2536.68433,2522.350045,14.334285,,,
89.75,26,2575.891473,2553.6356,22.255873,,,
90,26,2660.535048,2627.800604,32.734444,,,
90.25,26,2745.178624,2701.965607,43.213017,,,
90.5,26,2846.475052,2793.450609,53.024443,,,
90.75,26,2947.77148,2884.935611,62.835869,,,
91,26,3063.931483,2991.826724,72.104759,,,
91.25,26,3180.091486,3098.717836,81.37365,,,
91.5,26,3206.491128,3130.539504,75.951624,,,
