x,y,M1920,M1990,Mean,,,
93.5,24.75,1476.847523,1334.930797,141.916726,,,
93.75,24.75,1359.525029,1240.161565,119.363464,,Min=,4.2957715
94,24.75,1316.397528,1218.10387,98.293658,,Q1=,42.3600998
93,25,1835.123777,1644.761567,190.36221,,median=,71.704226
93.25,25,1526.145023,1377.330793,148.81423,,Q3=,106.54337
93.5,25,1471.271276,1340.435602,130.835674,,Max=,232.823841
93.75,25,1416.397529,1303.540411,112.857118,,,
94,25,1370.775026,1274.923102,95.851924,,,
94.25,25,1325.152524,1246.305794,78.84673,,,
94.5,25,1299.831273,1231.367331,68.463942,,,
92.75,25.25,2193.635033,1966.030811,227.604222,,,
93,25.25,1825.877531,1645.496184,180.381347,,,
93.25,25.25,1458.120028,1324.961556,133.158472,,,
93.5,25.25,1465.695028,1345.940407,119.754621,,,
93.75,25.25,1473.270028,1366.919257,106.350771,,,
94,25.25,1425.152525,1331.742334,93.410191,,,
94.25,25.25,1377.035022,1296.565411,80.469611,,,
94.5,25.25,1349.870021,1281.250024,68.619997,,,
92.5,25.5,2393.781292,2168.505807,225.275485,,,
92.75,25.5,2003.585034,1814.536579,189.048455,,,
93,25.5,1744.891282,1587.445223,157.446059,,,
93.25,25.5,1486.197531,1360.353867,125.843664,,,
93.5,25.5,1456.890028,1342.506754,114.383274,,,
93.75,25.5,1427.582525,1324.659641,102.922884,,,
94,25.5,1406.840023,1315.850027,90.989996,,,
94.25,25.5,1386.09752,1307.040412,79.057108,,,
94.5,25.5,1356.508771,1287.833678,68.675093,,,
94.75,25.5,1326.920021,1268.626945,58.293076,,,
89.75,25.75,1841.515037,1697.380806,144.134231,,,
90,25.75,1934.745037,1782.217345,152.527692,,,
92.25,25.75,2432.805043,2237.726953,195.07809,,,
92.5,25.75,2123.170039,1950.38465,172.785389,,,
92.75,25.75,1813.535034,1663.042346,150.492688,,,
93,25.75,1663.905034,1529.394262,134.510772,,,
93.25,25.75,1514.275033,1395.746177,118.528856,,,
93.5,25.75,1448.085027,1339.073101,109.011926,,,
93.75,25.75,1381.895021,1282.400026,99.494995,,,
94,25.75,1388.52752,1299.957719,88.569801,,,
94.25,25.75,1395.160019,1317.515412,77.644607,,,
94.5,25.75,1363.14752,1294.417332,68.730188,,,
94.75,25.75,1331.135022,1271.319253,59.815769,,,
95,25.75,1312.152522,1259.907713,52.244809,,,
89.25,26,1977.572534,1817.686573,159.885961,,,
89.5,26,1959.968784,1807.367343,152.601441,,,
89.75,26,1942.365034,1797.048113,145.316921,,,
90,26,1959.026286,1810.410615,148.615671,,,
90.25,26,1975.687538,1823.773116,151.914422,,,
90.5,26,2027.122537,1874.679848,152.442689,,,
90.75,26,2078.557536,1925.586579,152.970957,,,
91,26,2162.891288,2002.972156,159.919132,,,
91.25,26,2247.22504,2080.357734,166.867306,,,
91.5,26,2258.083791,2100.702927,157.380864,,,
91.75,26,2268.942542,2121.048121,147.894421,,,
92,26,2156.988791,2007.70869,149.280101,,,
92.25,26,2045.03504,1894.369258,150.665782,,,
92.5,26,1873.746285,1733.985606,139.760679,,,
92.75,26,1702.45753,1573.601954,128.855576,,,
93,26,1602.29878,1483.234643,119.064137,,,
93.25,26,1502.14003,1392.867331,109.272699,,,
93.5,26,1452.551277,1349.939446,102.611831,,,
93.75,26,1402.962523,1307.011561,95.950962,,,
94,26,1400.291273,1312.536562,87.754711,,,
94.25,26,1397.620023,1318.061563,79.55846,,,
94.5,26,1371.952522,1300.996178,70.956344,,,
94.75,26,1346.285021,1283.930793,62.354228,,,
95,26,1309.812521,1256.406753,53.405768,,,
89,26.25,2149.512531,1962.54619,186.966341,,,
89.25,26.25,2177.515035,2001.507731,176.007304,,,
89.5,26.25,2110.365033,1949.111576,161.253457,,,
89.75,26.25,2043.215031,1896.715421,146.49961,,,
90,26.25,1983.307534,1838.603885,144.703649,,,
90.25,26.25,1923.400038,1780.492349,142.907689,,,
90.5,26.25,1888.330034,1753.76927,134.560764,,,
90.75,26.25,1853.26003,1727.046191,126.213839,,,
91,26.25,1801.160031,1682.319264,118.840767,,,
91.25,26.25,1749.060031,1637.592338,111.467693,,,
91.5,26.25,1694.950027,1590.588491,104.361536,,,
91.75,26.25,1640.840024,1543.584644,97.25538,,,
92,26.25,1649.05253,1547.298104,101.754426,,,
92.25,26.25,1657.265036,1551.011563,106.253473,,,
92.5,26.25,1624.322531,1517.586562,106.735969,,,
92.75,26.25,1591.380026,1484.161562,107.218464,,,
93,26.25,1540.692527,1437.075024,103.617503,,,
93.25,26.25,1490.005028,1389.988486,100.016542,,,
93.5,26.25,1457.017526,1360.805792,96.211734,,,
93.75,26.25,1424.030025,1331.623097,92.406928,,,
94,26.25,1412.055026,1325.115405,86.939621,,,
94.25,26.25,1400.080027,1318.607714,81.472313,,,
94.5,26.25,1380.757523,1307.575023,73.1825,,,
94.75,26.25,1361.43502,1296.542333,64.892687,,,
95,26.25,1307.472519,1252.905792,54.566727,,,
88.75,26.5,2163.655033,1959.198107,204.456926,,,
89,26.5,2176.432534,1988.650034,187.7825,,,
89.25,26.5,2189.210036,2018.10196,171.108076,,,
89.5,26.5,2129.646286,1972.602923,157.043363,,,
89.75,26.5,2070.082537,1927.103885,142.978652,,,
90,26.5,2005.147538,1868.159654,136.987884,,,
90.25,26.5,1940.212539,1809.215423,130.997116,,,
90.5,26.5,1901.928786,1780.031768,121.897018,,,
90.75,26.5,1863.645034,1750.848113,112.796921,,,
91,26.5,1806.577534,1700.431762,106.145772,,,
91.25,26.5,1749.510034,1650.015412,99.494622,,,
91.5,26.5,1700.090029,1606.01349,94.076539,,,
91.75,26.5,1650.670024,1562.011567,88.658457,,,
92,26.5,1622.208776,1532.413488,89.795288,,,
92.25,26.5,1593.747528,1502.815408,90.93212,,,
92.5,26.5,1557.811278,1466.294254,91.517024,,,
92.75,26.5,1521.875029,1429.773101,92.101928,,,
93,26.5,1491.655027,1400.830793,90.824234,,,
93.25,26.5,1461.435025,1371.888484,89.546541,,,
93.5,26.5,1443.643774,1355.350984,88.29279,,,
93.75,26.5,1425.852523,1338.813484,87.039039,,,
94,26.5,1423.642523,1339.016369,84.626154,,,
94.25,26.5,1421.432524,1339.219254,82.21327,,,
94.5,26.5,1410.791273,1333.632716,77.158557,,,
94.75,26.5,1400.150022,1328.046178,72.103844,,,
95,26.5,1328.74002,1267.702907,61.037113,,,
95.25,26.5,1257.330018,1207.359636,49.970382,,,
88.25,26.75,2026.570032,1793.746191,232.823841,,,
88.5,26.75,2116.185035,1894.278878,221.906157,,,
88.75,26.75,2205.800039,1994.811566,210.988473,,,
89,26.75,2203.352538,2014.753877,188.598661,,,
89.25,26.75,2200.905036,2034.696189,166.208847,,,
89.5,26.75,2148.927539,1996.094269,152.83327,,,
89.75,26.75,2096.950043,1957.49235,139.457693,,,
90,26.75,2026.987541,1897.715423,129.272118,,,
90.25,26.75,1957.025039,1837.938497,119.086542,,,
90.5,26.75,1915.527539,1806.294266,109.233273,,,
90.75,26.75,1874.030038,1774.650035,99.380003,,,
91,26.75,1811.995037,1718.544261,93.450776,,,
91.25,26.75,1749.960036,1662.438486,87.52155,,,
91.5,26.75,1705.23003,1621.438488,83.791542,,,
91.75,26.75,1660.500024,1580.43849,80.061534,,,
92,26.75,1595.365022,1517.528872,77.83615,,,
92.25,26.75,1530.230019,1454.619253,75.610766,,,
92.5,26.75,1491.300025,1415.001947,76.298078,,,
92.75,26.75,1452.370031,1375.38464,76.985391,,,
93,26.75,1442.617526,1364.586561,78.030965,,,
93.25,26.75,1432.865022,1353.788483,79.076539,,,
93.5,26.75,1430.270021,1349.896177,80.373844,,,
93.75,26.75,1427.675021,1346.00387,81.671151,,,
94,26.75,1435.230021,1352.917332,82.312689,,,
94.25,26.75,1442.78502,1359.830794,82.954226,,,
94.5,26.75,1440.825022,1359.690409,81.134613,,,
94.75,26.75,1438.865023,1359.550024,79.314999,,,
95,26.75,1350.007521,1282.500022,67.507499,,,
95.25,26.75,1261.150019,1205.450019,55.7,,,
95.5,26.75,1250.62002,1203.121175,47.498845,,,
88,27,1895.647534,1663.833685,231.813849,,,
88.25,27,1925.350035,1708.423111,216.926924,,,
88.5,27,1983.083785,1777.798108,205.285677,,,
88.75,27,2040.817535,1847.173105,193.64443,,,
89,27,1973.866285,1807.494261,166.372024,,,
92,27,1535.206275,1472.33464,62.871635,,,
92.25,27,1468.320022,1406.907714,61.412308,,,
92.5,27,1456.720025,1393.102906,63.617119,,,
92.75,27,1445.120029,1379.298098,65.821931,,,
93,27,1424.741277,1356.810597,67.93068,,,
93.25,27,1404.362526,1334.323097,70.039429,,,
93.5,27,1402.263775,1329.939444,72.324331,,,
93.75,27,1400.165025,1325.555791,74.609234,,,
94,27,1418.081276,1340.462522,77.618754,,,
94.25,27,1435.997526,1355.369254,80.628272,,,
94.5,27,1442.065025,1360.851947,81.213078,,,
94.75,27,1448.132523,1366.33464,81.797883,,,
95,27,1394.412521,1321.300985,73.111536,,,
95.25,27,1340.69252,1276.26733,64.42519,,,
95.5,27,1315.593771,1259.194252,56.399519,,,
95.75,27,1290.495023,1242.121175,48.373848,,,
96,27,1295.605023,1250.852906,44.752117,,,
88,27.25,1877.587544,1649.780797,227.806747,,,
88.25,27.25,1824.130039,1623.100031,201.030008,,,
88.5,27.25,1849.982535,1661.317337,188.665198,,,
88.75,27.25,1875.835031,1699.534643,176.300388,,,
92,27.25,1475.047528,1427.140408,47.90712,,,
92.25,27.25,1406.410024,1359.196175,47.213849,,,
92.5,27.25,1422.140025,1371.203865,50.93616,,,
92.75,27.25,1437.870027,1383.211556,54.658471,,,
93,27.25,1406.865028,1349.034633,57.830395,,,
93.25,27.25,1375.86003,1314.857711,61.002319,,,
93.5,27.25,1374.257529,1309.982711,64.274818,,,
93.75,27.25,1372.655029,1305.107712,67.547317,,,
94,27.25,1400.932531,1328.007713,72.924818,,,
94.25,27.25,1429.210032,1350.907713,78.302319,,,
94.5,27.25,1443.305027,1362.013484,81.291543,,,
94.75,27.25,1457.400023,1373.119255,84.280768,,,
95,27.25,1438.817521,1360.101948,78.715573,,,
95.25,27.25,1420.23502,1347.084641,73.150379,,,
95.5,27.25,1380.567522,1315.267329,65.300193,,,
95.75,27.25,1340.900025,1283.450018,57.450007,,,
96,27.25,1309.440024,1257.728866,51.711158,,,
96.25,27.25,1277.980022,1232.007714,45.972308,,,
96.5,27.25,1186.870019,1148.592327,38.277692,,,
96.75,27.25,1095.760015,1065.176939,30.583076,,,
97,27.25,1084.972519,1058.163478,26.809041,,,
88,27.5,1467.151283,1293.70579,173.445493,,,
88.25,27.5,1408.79753,1257.234639,151.562891,,,
88.5,27.5,1460.822528,1317.293292,143.529236,,,
