x,y,M1970,M2015,Mean,,,
93.5,24.75,1464.58288,1340.94447,123.63841,,,
93.75,24.75,1349.181453,1241.295581,107.885872,,Min=,21.8417492
94,24.75,1306.504308,1211.817801,94.686507,,Q1=,53.38948445
93,25,1829.299314,1659.331695,169.967619,,Median=,66.727537
93.25,25,1516.625023,1386.791133,129.83389,,Q3=,79.089267
93.5,25,1462.382524,1344.887246,117.495278,,MAX=,202.097451
93.75,25,1408.140024,1302.983358,105.156666,,,
94,25,1363.445381,1268.536134,94.909247,,,
94.25,25,1318.750737,1234.088911,84.661826,,,
94.5,25,1289.402879,1219.62891,69.773969,,,
92.75,25.25,2191.728605,1989.631154,202.097451,,,
93,25.25,1822.497172,1661.31003,161.187142,,,
93.25,25.25,1453.265739,1332.988907,120.276832,,,
93.5,25.25,1460.182167,1348.830021,111.352146,,,
93.75,25.25,1467.098595,1364.671134,102.427461,,,
94,25.25,1420.386453,1325.254467,95.131986,,,
94.25,25.25,1373.674311,1285.8378,87.836511,,,
94.5,25.25,1343.037168,1269.765577,73.271591,,,
92.5,25.5,2391.938612,2196.051705,195.886907,,,
92.75,25.5,2001.410748,1835.968927,165.441821,,,
93,25.5,1741.748601,1602.665585,139.083016,,,
93.25,25.5,1482.086454,1369.362242,112.724212,,,
93.5,25.5,1452.483952,1347.570577,104.913375,,,
93.75,25.5,1422.881451,1325.778912,97.102539,,,
94,25.5,1404.246809,1312.485024,91.761785,,,
94.25,25.5,1385.612167,1299.191136,86.421031,,,
94.5,25.5,1352.177167,1277.78669,74.390477,,,
94.75,25.5,1318.742167,1256.382244,62.359923,,,
89.75,25.75,1808.028602,1734.124478,73.904124,,,
90,25.75,1905.962178,1819.796702,86.165476,,,
92.25,25.75,2430.610042,2269.577813,161.032229,,,
92.5,25.75,2120.851466,1975.942256,144.90921,,,
92.75,25.75,1811.092891,1682.306699,128.786192,,,
93,25.75,1661.00003,1544.021139,116.978891,,,
93.25,25.75,1510.907169,1405.735578,105.171591,,,
93.5,25.75,1444.785738,1346.311134,98.474604,,,
93.75,25.75,1378.664307,1286.88669,91.777617,,,
94,25.75,1388.107165,1299.715581,88.391584,,,
94.25,25.75,1397.550023,1312.544472,85.005551,,,
94.5,25.75,1361.317166,1285.807802,75.509364,,,
94.75,25.75,1325.084309,1259.071133,66.013176,,,
95,25.75,1305.889309,1246.405576,59.483733,,,
89.25,26,1923.487891,1856.803368,66.684523,,,
89.5,26,1913.381104,1845.135033,68.246071,,,
89.75,26,1903.274316,1833.466698,69.807618,,,
90,26,1924.908249,1846.888368,78.019881,,,
90.25,26,1946.542181,1860.310038,86.232143,,,
90.5,26,2003.270037,1911.645039,91.624998,,,
90.75,26,2059.997892,1962.98004,97.017852,,,
91,26,2146.581109,2041.607263,104.973846,,,
91.25,26,2233.164327,2120.234486,112.929841,,,
91.5,26,2247.637182,2142.023375,105.613807,,,
91.75,26,2262.110038,2163.812265,98.297773,,,
92,26,2151.429679,2041.811703,109.617976,,,
92.25,26,2040.74932,1919.811141,120.938179,,,
92.5,26,1870.612889,1755.363919,115.24897,,,
92.75,26,1700.476459,1590.916696,109.559763,,,
93,26,1599.865027,1496.765026,103.100001,,,
93.25,26,1499.253596,1402.613356,96.64024,,,
93.5,26,1449.41038,1357.275022,92.135358,,,
93.75,26,1399.567165,1311.936689,87.630476,,,
94,26,1398.745379,1313.35169,85.393689,,,
94.25,26,1397.923593,1314.766691,83.156902,,,
94.5,26,1370.43895,1294.238357,76.200593,,,
94.75,26,1342.954307,1273.710023,69.244284,,,
95,26,1306.579664,1245.026133,61.553531,,,
89,26.25,2082.47003,2001.734479,80.735551,,,
89.25,26.25,2115.700035,2038.935593,76.764442,,,
89.5,26.25,2057.110033,1985.872256,71.237777,,,
89.75,26.25,1998.520031,1932.808919,65.711112,,,
90,26.25,1943.85432,1873.980034,69.874286,,,
90.25,26.25,1889.188609,1815.15115,74.037459,,,
90.5,26.25,1860.977177,1787.845592,73.131585,,,
90.75,26.25,1832.765746,1760.540035,72.225711,,,
91,26.25,1783.81789,1714.896701,68.921189,,,
91.25,26.25,1734.870035,1669.253367,65.616668,,,
91.5,26.25,1684.337174,1619.045587,65.291587,,,
91.75,26.25,1633.804312,1568.837806,64.966506,,,
92,26.25,1642.346455,1569.441138,72.905317,,,
92.25,26.25,1650.888598,1570.04447,80.844128,,,
92.5,26.25,1620.374312,1534.785581,85.588731,,,
92.75,26.25,1589.860027,1499.526693,90.333334,,,
93,26.25,1538.730024,1449.508913,89.221111,,,
93.25,26.25,1487.600022,1399.491134,88.108888,,,
93.5,26.25,1454.035023,1368.238911,85.796112,,,
93.75,26.25,1420.470023,1336.986688,83.483335,,,
94,26.25,1409.383593,1326.987799,82.395794,,,
94.25,26.25,1398.297163,1316.98891,81.308253,,,
94.5,26.25,1379.560734,1302.668911,76.891823,,,
94.75,26.25,1360.824304,1288.348913,72.475391,,,
95,26.25,1307.27002,1243.64669,63.62333,,,
88.75,26.5,2084.079317,1995.424477,88.65484,,,
89,26.5,2103.14789,2022.928923,80.218967,,,
89.25,26.5,2122.216462,2050.433368,71.783094,,,
89.5,26.5,2072.857534,2005.378924,67.47861,,,
89.75,26.5,2023.498605,1960.32448,63.174125,,,
90,26.5,1963.455035,1901.441702,62.013333,,,
90.25,26.5,1903.411464,1842.558925,60.852539,,,
90.5,26.5,1872.652534,1811.031703,61.620831,,,
90.75,26.5,1841.893604,1779.504481,62.389123,,,
91,26.5,1788.801462,1727.787811,61.013651,,,
91.25,26.5,1735.709319,1676.071141,59.638178,,,
91.5,26.5,1689.843244,1629.449473,60.393771,,,
91.75,26.5,1643.977168,1582.827806,61.149362,,,
92,26.5,1616.452525,1549.933915,66.51861,,,
92.25,26.5,1588.927882,1517.040024,71.887858,,,
92.5,26.5,1554.393954,1479.124469,75.269485,,,
92.75,26.5,1519.860026,1441.208914,78.651112,,,
93,26.5,1489.537167,1410.064469,79.472698,,,
93.25,26.5,1459.214308,1378.920024,80.294284,,,
93.5,26.5,1440.638237,1360.970578,79.667659,,,
93.75,26.5,1422.062166,1343.021133,79.041033,,,
94,26.5,1420.277523,1341.140022,79.137501,,,
94.25,26.5,1418.492881,1339.258911,79.23397,,,
94.5,26.5,1408.605379,1331.398913,77.206466,,,
94.75,26.5,1398.717878,1323.538914,75.178964,,,
95,26.5,1327.871449,1261.143912,66.727537,,,
95.25,26.5,1257.02502,1198.74891,58.27611,,,
88.25,26.75,1935.778602,1823.251143,112.527459,,,
88.5,26.75,2027.348605,1924.783366,102.565239,,,
88.75,26.75,2118.918609,2026.315589,92.60302,,,
89,26.75,2123.825749,2044.123366,79.702383,,,
89.25,26.75,2128.73289,2061.931143,66.801747,,,
89.5,26.75,2088.605035,2024.885592,63.719443,,,
89.75,26.75,2048.47718,1987.840041,60.637139,,,
90,26.75,1983.05575,1928.90337,54.15238,,,
90.25,26.75,1917.634319,1869.9667,47.667619,,,
90.5,26.75,1884.327891,1834.217814,50.110077,,,
90.75,26.75,1851.021462,1798.468928,52.552534,,,
91,26.75,1793.785033,1740.678921,53.106112,,,
91.25,26.75,1736.548604,1682.888914,53.65969,,,
91.5,26.75,1695.349314,1639.85336,55.495954,,,
91.75,26.75,1654.150025,1596.817806,57.332219,,,
92,26.75,1590.558596,1530.426692,60.131904,,,
92.25,26.75,1526.967167,1464.035578,62.931589,,,
92.5,26.75,1488.413596,1423.463357,64.950239,,,
92.75,26.75,1449.860025,1382.891136,66.968889,,,
93,26.75,1440.34431,1370.620025,69.724285,,,
93.25,26.75,1430.828595,1358.348913,72.479682,,,
93.5,26.75,1427.241452,1353.702246,73.539206,,,
93.75,26.75,1423.654309,1349.055579,74.59873,,,
94,26.75,1431.171454,1355.292246,75.879208,,,
94.25,26.75,1438.688598,1361.528913,77.159685,,,
94.5,26.75,1437.650025,1360.128914,77.521111,,,
94.75,26.75,1436.611452,1358.728915,77.882537,,,
95,26.75,1348.472878,1278.641134,69.831744,,,
95.25,26.75,1260.334305,1198.553353,61.780952,,,
95.5,26.75,1252.321448,1192.136686,60.184762,,,
88,27,1802.755031,1683.142252,119.612779,,,
88.25,27,1836.15289,1731.252253,104.900637,,,
88.5,27,1897.864677,1799.966142,97.898535,,,
88.75,27,1959.576464,1868.68003,90.896434,,,
89,27,1904.166105,1826.98003,77.186075,,,
92,27,1531.415738,1478.001691,53.414047,,,
92.25,27,1465.580737,1410.295578,55.285159,,,
92.5,27,1454.155023,1395.709467,58.445556,,,
92.75,27,1442.72931,1381.123356,61.605954,,,
93,27,1422.330738,1358.241689,64.089049,,,
93.25,27,1401.932167,1335.360022,66.572145,,,
93.5,27,1399.157167,1330.713355,68.443812,,,
93.75,27,1396.382167,1326.066689,70.315478,,,
94,27,1414.242882,1341.242245,73.000637,,,
94.25,27,1432.103598,1356.4178,75.685798,,,
94.5,27,1438.828953,1361.552246,77.276707,,,
94.75,27,1445.554309,1366.686691,78.867618,,,
95,27,1393.501808,1318.452246,75.049562,,,
95.25,27,1341.449307,1270.2178,71.231507,,,
95.5,27,1317.643593,1249.714466,67.929127,,,
95.75,27,1293.83788,1229.211131,64.626749,,,
96,27,1299.443236,1235.075576,64.36766,,,
88,27.25,1779.861463,1663.005586,116.855877,,,
88.25,27.25,1736.527177,1639.253363,97.273814,,,
88.5,27.25,1768.380748,1675.148917,93.231831,,,
88.75,27.25,1800.234319,1711.044471,89.189848,,,
92,27.25,1472.272881,1425.57669,46.696191,,,
92.25,27.25,1404.194307,1356.555578,47.638729,,,
92.5,27.25,1419.896451,1367.955577,51.940874,,,
92.75,27.25,1435.598595,1379.355576,56.243019,,,
93,27.25,1404.317167,1345.863353,58.453814,,,
93.25,27.25,1373.035739,1312.371131,60.664608,,,
93.5,27.25,1371.072881,1307.724465,63.348416,,,
93.75,27.25,1369.110024,1303.077799,66.032225,,,
94,27.25,1397.314311,1327.192243,70.122068,,,
94.25,27.25,1425.518598,1351.306688,74.21191,,,
94.5,27.25,1440.007882,1362.975578,77.032304,,,
94.75,27.25,1454.497166,1374.644468,79.852698,,,
95,27.25,1438.530737,1358.263357,80.26738,,,
95.25,27.25,1422.564309,1341.882247,80.682062,,,
95.5,27.25,1382.965739,1307.292245,75.673494,,,
95.75,27.25,1343.367169,1272.702242,70.664927,,,
96,27.25,1312.661454,1243.865576,68.795878,,,
96.25,27.25,1281.955738,1215.02891,66.926828,,,
96.5,27.25,1192.070736,1130.630019,61.440717,,,
96.75,27.25,1102.185734,1046.231129,55.954605,,,
97,27.25,1093.058593,1037.924461,55.134132,,,
88,27.5,1389.181455,1300.198912,88.982543,,,
88.25,27.5,1340.432883,1264.150022,76.282861,,,
88.5,27.5,1395.518597,1322.999466,72.519131,,,
88.75,27.5,1450.604311,1381.84891,68.755401,,,
91.75,27.5,1374.51431,1339.55891,34.9554,,,
92,27.5,1290.599665,1254.25613,36.343535,,,
92.25,27.5,1206.68502,1168.953351,37.731669,,,
92.5,27.5,1246.348591,1204.836129,41.512462,,,
92.75,27.5,1286.012163,1240.718908,45.293255,,,
93,27.5,1296.145378,1246.426131,49.719247,,,
93.25,27.5,1306.278594,1252.133354,54.14524,,,
93.5,27.5,1315.62288,1257.237798,58.385082,,,
93.75,27.5,1324.967166,1262.342243,62.624923,,,
94,27.5,1341.598952,1275.21002,66.388932,,,
94.25,27.5,1358.230739,1288.077796,70.152943,,,
94.5,27.5,1377.763952,1304.395577,73.368375,,,
94.75,27.5,1397.297165,1320.713357,76.583808,,,
95,27.5,1393.428594,1315.831135,77.597459,,,
95.25,27.5,1389.560023,1310.948913,78.61111,,,
95.5,27.5,1357.194667,1281.80669,75.387977,,,
95.75,27.5,1324.829311,1252.664466,72.164845,,,
96,27.5,1288.697524,1218.164465,70.533059,,,
96.25,27.5,1252.565737,1183.664463,68.901274,,,
96.5,27.5,1115.592163,1054.468906,61.123257,,,
96.75,27.5,978.6185889,925.2733487,53.3452402,,,
97,27.5,1002.767877,948.5183496,54.2495274,,,
88.25,27.75,944.3385897,889.0466802,55.2919095,,,
88.5,27.75,1022.656447,970.8500151,51.8064319,,,
88.75,27.75,1100.974303,1052.65335,48.320953,,,
91.75,27.75,1208.677165,1184.520017,24.157148,,,
92,27.75,1108.926449,1082.93557,25.990879,,,
92.25,27.75,1009.175733,981.3511236,27.8246094,,,
92.5,27.75,1072.800732,1041.716681,31.084051,,,
92.75,27.75,1136.425731,1102.082239,34.343492,,,
93,27.75,1187.97359,1146.988908,40.984682,,,
93.25,27.75,1239.521449,1191.895577,47.625872,,,
93.5,27.75,1260.172879,1206.751132,53.421747,,,
93.75,27.75,1280.824308,1221.606688,59.21762,,,
94,27.75,1285.883594,1223.227796,62.655798,,,
94.25,27.75,1290.942879,1224.848904,66.093975,,,
94.5,27.75,1315.520022,1245.815575,69.704447,,,
94.75,27.75,1340.097164,1266.782246,73.314918,,,
95,27.75,1348.326451,1273.398913,74.927538,,,
95.25,27.75,1356.555737,1280.01558,76.540157,,,
95.5,27.75,1331.423595,1256.321135,75.10246,,,
95.75,27.75,1306.291452,1232.626691,73.664761,,,
96,27.75,1264.733594,1192.463354,72.27024,,,
96.25,27.75,1223.175735,1152.300017,70.875718,,,
96.5,27.75,1039.113589,978.3077929,60.8057961,,,
96.75,27.75,855.0514433,804.3155685,50.7358748,,,
97,27.75,912.4771603,859.1122384,53.3649219,,,
97.25,27.75,969.9028773,913.9089083,55.993969,,,
88.25,28,948.8521599,899.1500142,49.7021457,,,
88.5,28,975.7682308,928.859459,46.9087718,,,
88.75,28,1002.684302,958.5689039,44.1153981,,,
92.75,28,952.4193012,924.3266807,28.0926205,,,
93,28,1029.750374,995.0689046,34.6814694,,,
93.25,28,1107.081447,1065.811128,41.270319,,,
93.5,28,1131.688234,1084.868352,46.819882,,,
93.75,28,1156.295021,1103.925575,52.369446,,,
94,28,1166.950734,1110.878908,56.071826,,,
94.25,28,1177.606448,1117.83224,59.774208,,,
94.5,28,1216.627878,1152.694465,63.933413,,,
94.75,28,1255.649308,1187.556689,68.092619,,,
95,28,1242.271451,1173.908355,68.363096,,,
95.25,28,1228.893594,1160.260021,68.633573,,,
95.5,28,1216.512879,1146.832243,69.680636,,,
95.75,28,1204.132164,1133.404464,70.7277,,,
96,28,1136.176448,1067.977795,68.198653,,,
96.25,28,1068.220732,1002.551125,65.669607,,,
96.5,28,943.1596593,884.5150132,58.6446461,,,
96.75,28,818.0985867,766.4789012,51.6196855,,,
97,28,821.7928729,770.4727912,51.3200817,,,
97.25,28,825.487159,774.4666813,51.0204777,,,
92.75,28.25,768.4128717,746.5711225,21.8417492,,,
93,28.25,871.5271581,843.1489013,28.3782568,,,
93.25,28.25,974.6414446,939.7266802,34.9147644,,,
93.5,28.25,1003.203589,962.9855714,40.2180176,,,
93.75,28.25,1031.765733,986.2444626,45.5212704,,,
94,28.25,1048.017875,998.5300197,49.4878553,,,
94.25,28.25,1064.270017,1010.815577,53.45444,,,
94.5,28.25,1117.735734,1059.573354,58.16238,,,
94.75,28.25,1171.201451,1108.331131,62.87032,,,
95,28.25,1136.216451,1074.417797,61.798654,,,
95.25,28.25,1101.231451,1040.504463,60.726988,,,
95.5,28.25,1101.602163,1037.34335,64.258813,,,
95.75,28.25,1101.972876,1034.182238,67.790638,,,
96,28.25,1007.619302,943.4922358,64.1270662,,,
96.25,28.25,913.2657285,852.8022334,60.4634951,,,
96.5,28.25,847.2057293,790.7222336,56.4834957,,,
96.75,28.25,781.1457302,728.6422338,52.5034964,,,
97,28.25,731.1085854,681.8333441,49.2752413,,,
97.25,28.25,681.0714407,635.0244544,46.0469863,,,
93.25,28.5,824.625014,794.9622341,29.6627799,,,
93.5,28.5,847.292872,813.6166801,33.6761919,,,
93.75,28.5,869.96073,832.2711262,37.6896038,,,
94,28.5,895.6232302,854.712238,40.9109922,,,
94.25,28.5,921.2857304,877.1533497,44.1323807,,,
94.5,28.5,999.6918043,949.5100166,50.1817877,,,
94.75,28.5,1078.097878,1021.866683,56.231195,,,
95,28.5,1027.70109,972.0422385,55.6588515,,,
95.25,28.5,977.3043027,922.2177936,55.0865091,,,
95.5,28.5,970.4496598,912.2989037,58.1507561,,,
95.75,28.5,963.5950169,902.3800138,61.2150031,,,
96,28.5,888.8978721,830.8089013,58.0889708,,,
96.25,28.5,814.2007274,759.2377888,54.9629386,,,
96.5,28.5,762.7100134,710.1083441,52.6016693,,,
96.75,28.5,711.2192995,660.9788995,50.2404,,,
93.75,28.75,708.155727,678.2977898,29.8579372,,,
94,28.75,743.2285854,710.8944562,32.3341292,,,
94.25,28.75,778.3014439,743.4911226,34.8103213,,,
94.5,28.75,881.6478745,839.4466791,42.2011954,,,
94.75,28.75,984.9943052,935.4022356,49.5920696,,,
95,28.75,919.18573,869.6666801,49.5190499,,,
95.25,28.75,853.3771547,803.9311245,49.4460302,,,
95.5,28.75,839.2971563,787.2544569,52.0426994,,,
95.75,28.75,825.2171579,770.5777893,54.6393686,,,
96,28.75,770.176442,718.1255668,52.0508752,,,
96.25,28.75,715.1357262,665.6733443,49.4623819,,,
96.5,28.75,678.2142975,629.4944547,48.7198428,,,
94.25,29,699.897156,669.6800099,30.2171461,,,
94.5,29,753.8450142,718.0361216,35.8088926,,,
94.75,29,807.7928725,766.3922332,41.4006393,,,
95,29,798.8242999,755.1677896,43.6565103,,,
95.25,29,789.8557274,743.9433459,45.9123815,,,
95.5,29,767.5821558,719.855012,47.7271438,,,
95.75,29,745.3085842,695.7666782,49.541906,,,
96,29,694.975012,646.6577885,48.3172235,,,
96.25,29,644.6414398,597.5488988,47.092541,,,
96.5,29,619.3653683,572.7155647,46.6498036,,,
94.5,29.25,626.0421539,596.6255641,29.4165898,,,
94.75,29.25,630.5914397,597.3822309,33.2092088,,,
95,29.25,678.4628699,640.6688991,37.7939708,,,
95.25,29.25,726.3343,683.9555673,42.3787327,,,
95.5,29.25,695.8671553,652.4555671,43.4115882,,,
95.75,29.25,665.4000106,620.955567,44.4444436,,,
96,29.25,619.773582,575.1900102,44.5835718,,,
96.25,29.25,574.1471535,529.4244533,44.7227002,,,
96.5,29.25,560.516439,515.9366747,44.5797643,,,
96,29.5,565.2964379,523.6422318,41.6542061,,,
