x,y,Mean
93.5,24.75,1476.847523
93.75,24.75,1359.525029
94,24.75,1316.397528
93,25,1835.123777
93.25,25,1526.145023
93.5,25,1471.271276
93.75,25,1416.397529
94,25,1370.775026
94.25,25,1325.152524
94.5,25,1299.831273
92.75,25.25,2193.635033
93,25.25,1825.877531
93.25,25.25,1458.120028
93.5,25.25,1465.695028
93.75,25.25,1473.270028
94,25.25,1425.152525
94.25,25.25,1377.035022
94.5,25.25,1349.870021
92.5,25.5,2393.781292
92.75,25.5,2003.585034
93,25.5,1744.891282
93.25,25.5,1486.197531
93.5,25.5,1456.890028
93.75,25.5,1427.582525
94,25.5,1406.840023
94.25,25.5,1386.09752
94.5,25.5,1356.508771
94.75,25.5,1326.920021
89.75,25.75,1841.515037
90,25.75,1934.745037
92.25,25.75,2432.805043
92.5,25.75,2123.170039
92.75,25.75,1813.535034
93,25.75,1663.905034
93.25,25.75,1514.275033
93.5,25.75,1448.085027
93.75,25.75,1381.895021
94,25.75,1388.52752
94.25,25.75,1395.160019
94.5,25.75,1363.14752
94.75,25.75,1331.135022
95,25.75,1312.152522
89.25,26,1977.572534
89.5,26,1959.968784
89.75,26,1942.365034
90,26,1959.026286
90.25,26,1975.687538
90.5,26,2027.122537
90.75,26,2078.557536
91,26,2162.891288
91.25,26,2247.22504
91.5,26,2258.083791
91.75,26,2268.942542
92,26,2156.988791
92.25,26,2045.03504
92.5,26,1873.746285
92.75,26,1702.45753
93,26,1602.29878
93.25,26,1502.14003
93.5,26,1452.551277
93.75,26,1402.962523
94,26,1400.291273
94.25,26,1397.620023
94.5,26,1371.952522
94.75,26,1346.285021
95,26,1309.812521
89,26.25,2149.512531
89.25,26.25,2177.515035
89.5,26.25,2110.365033
89.75,26.25,2043.215031
90,26.25,1983.307534
90.25,26.25,1923.400038
90.5,26.25,1888.330034
90.75,26.25,1853.26003
91,26.25,1801.160031
91.25,26.25,1749.060031
91.5,26.25,1694.950027
91.75,26.25,1640.840024
92,26.25,1649.05253
92.25,26.25,1657.265036
92.5,26.25,1624.322531
92.75,26.25,1591.380026
93,26.25,1540.692527
93.25,26.25,1490.005028
93.5,26.25,1457.017526
93.75,26.25,1424.030025
94,26.25,1412.055026
94.25,26.25,1400.080027
94.5,26.25,1380.757523
94.75,26.25,1361.43502
95,26.25,1307.472519
88.75,26.5,2163.655033
89,26.5,2176.432534
89.25,26.5,2189.210036
89.5,26.5,2129.646286
89.75,26.5,2070.082537
90,26.5,2005.147538
90.25,26.5,1940.212539
90.5,26.5,1901.928786
90.75,26.5,1863.645034
91,26.5,1806.577534
91.25,26.5,1749.510034
91.5,26.5,1700.090029
91.75,26.5,1650.670024
92,26.5,1622.208776
92.25,26.5,1593.747528
92.5,26.5,1557.811278
92.75,26.5,1521.875029
93,26.5,1491.655027
93.25,26.5,1461.435025
93.5,26.5,1443.643774
93.75,26.5,1425.852523
94,26.5,1423.642523
94.25,26.5,1421.432524
94.5,26.5,1410.791273
94.75,26.5,1400.150022
95,26.5,1328.74002
95.25,26.5,1257.330018
88.25,26.75,2026.570032
88.5,26.75,2116.185035
88.75,26.75,2205.800039
89,26.75,2203.352538
89.25,26.75,2200.905036
89.5,26.75,2148.927539
89.75,26.75,2096.950043
90,26.75,2026.987541
90.25,26.75,1957.025039
90.5,26.75,1915.527539
90.75,26.75,1874.030038
91,26.75,1811.995037
91.25,26.75,1749.960036
91.5,26.75,1705.23003
91.75,26.75,1660.500024
92,26.75,1595.365022
92.25,26.75,1530.230019
92.5,26.75,1491.300025
92.75,26.75,1452.370031
93,26.75,1442.617526
93.25,26.75,1432.865022
93.5,26.75,1430.270021
93.75,26.75,1427.675021
94,26.75,1435.230021
94.25,26.75,1442.78502
94.5,26.75,1440.825022
94.75,26.75,1438.865023
95,26.75,1350.007521
95.25,26.75,1261.150019
95.5,26.75,1250.62002
88,27,1895.647534
88.25,27,1925.350035
88.5,27,1983.083785
88.75,27,2040.817535
89,27,1973.866285
92,27,1535.206275
92.25,27,1468.320022
92.5,27,1456.720025
92.75,27,1445.120029
93,27,1424.741277
93.25,27,1404.362526
93.5,27,1402.263775
93.75,27,1400.165025
94,27,1418.081276
94.25,27,1435.997526
94.5,27,1442.065025
94.75,27,1448.132523
