"","V1"
"1",1334.93079684331
"2",1240.16156475361
"3",1218.10387039185
"4",1644.76156682234
"5",1377.33079264714
"6",1340.43560182131
"7",1303.54041099548
"8",1274.92310237885
"9",1246.30579376221
"10",1231.36733113802
"11",1966.03081101638
"12",1645.49618368882
"13",1324.96155636127
"14",1345.94040679932
"15",1366.91925723736
"16",1331.74233436584
"17",1296.56541149433
"18",1281.25002435537
"19",2168.50580677619
"20",1814.53657869192
"21",1587.44522263454
"22",1360.35386657715
"23",1342.50675399487
"24",1324.65964141259
"25",1315.85002657083
"26",1307.04041172908
"27",1287.8336783189
"28",1268.62694490873
"29",1697.38080596924
"30",1782.21734501765
"31",2237.72695277287
"32",1950.38464957017
"33",1663.04234636747
"34",1529.39426158025
"35",1395.74617679302
"36",1339.07310119042
"37",1282.40002558782
"38",1299.95771877582
"39",1317.51541196383
"40",1294.41733228243
"41",1271.31925260104
"42",1259.90771308312
"43",1817.686573322
"44",1807.36734331571
"45",1797.04811330942
"46",1810.41061489399
"47",1823.77311647855
"48",1874.679847864
"49",1925.58657924945
"50",2002.97215637794
"51",2080.35773350642
"52",2100.7029274427
"53",2121.04812137897
"54",2007.70868961628
"55",1894.36925785358
"56",1733.9856059001
"57",1573.60195394663
"58",1483.23464268905
"59",1392.86733143146
"60",1349.93944644928
"61",1307.0115614671
"62",1312.53656211266
"63",1318.06156275823
"64",1300.99617767334
"65",1283.93079258845
"66",1256.40675273308
"67",1962.54618952825
"68",2001.50773092417
"69",1949.11157578688
"70",1896.7154206496
"71",1838.60388477032
"72",1780.49234889104
"73",1753.76926979652
"74",1727.046190702
"75",1682.31926433857
"76",1637.59233797514
"77",1590.58849114638
"78",1543.58464431763
"79",1547.29810362596
"80",1551.01156293429
"81",1517.58656223004
"82",1484.16156152578
"83",1437.07502379784
"84",1389.9884860699
"85",1360.80579170814
"86",1331.62309734638
"87",1325.1154054495
"88",1318.60771355262
"89",1307.57502306425
"90",1296.54233257587
"91",1252.90579238305
"92",1959.1981072059
"93",1988.65003351065
"94",2018.10195981539
"95",1972.60292258629
"96",1927.1038853572
"97",1868.15965403043
"98",1809.21542270367
"99",1780.03176777179
"100",1750.84811283992
"101",1700.43176247523
"102",1650.01541211055
"103",1606.01348964985
"104",1562.01156718914
"105",1532.41348765447
"106",1502.81540811979
"107",1466.2942544497
"108",1429.77310077961
"109",1400.83079257378
"110",1371.88848436796
"111",1355.35098413321
"112",1338.81348389846
"113",1339.01636886597
"114",1339.21925383348
"115",1333.63271610554
"116",1328.04617837759
"117",1267.70290704874
"118",1207.35963571989
"119",1793.74619058462
"120",1894.27887843205
"121",1994.81156627948
"122",2014.75387749305
"123",2034.69618870662
"124",1996.0942693857
"125",1957.49235006479
"126",1897.71542329055
"127",1837.9384965163
"128",1806.29426574707
"129",1774.65003497784
"130",1718.5442606119
"131",1662.43848624596
"132",1621.43848815331
"133",1580.43849006066
"134",1517.52887168297
"135",1454.61925330529
"136",1415.00194666936
"137",1375.38464003343
"138",1364.58656134972
