x,y,Mean
93.5,24.75,2181.990043
93.75,24.75,1953.320041
94,24.75,1875.195593
93,25,2703.92838
93.25,25,2317.057819
93.5,25,2161.230039
93.75,25,2005.40226
94,25,1925.887258
94.25,25,1846.372255
94.5,25,1825.334477
92.75,25.25,3086.255611
93,25.25,2654.855601
93.25,25.25,2223.455591
93.5,25.25,2140.470035
93.75,25.25,2057.484479
94,25.25,1976.578922
94.25,25.25,1895.673366
94.5,25.25,1863.852254
92.5,25.5,3321.427279
92.75,25.5,2851.073385
93,25.5,2541.712266
93.25,25.5,2232.351147
93.5,25.5,2137.770035
93.75,25.5,2043.188924
94,25.5,1976.718924
94.25,25.5,1910.248925
94.5,25.5,1870.1467
94.75,25.5,1830.044475
89.75,25.75,2455.802268
90,25.75,2627.16116
92.25,25.75,3366.864498
92.5,25.75,2991.377828
92.75,25.75,2615.891159
93,25.75,2428.568931
93.25,25.75,2241.246703
93.5,25.75,2135.070036
93.75,25.75,2028.893368
94,25.75,1976.858926
94.25,25.75,1924.824484
94.5,25.75,1876.441146
94.75,25.75,1828.057809
95,25.75,1810.873363
89.25,26,2491.064489
89.5,26,2522.350045
89.75,26,2553.6356
90,26,2627.800604
90.25,26,2701.965607
90.5,26,2793.450609
90.75,26,2884.935611
91,26,2991.826724
91.25,26,3098.717836
91.5,26,3130.539504
91.75,26,3162.361173
92,26,3008.432831
92.25,26,2854.50449
92.5,26,2640.446711
92.75,26,2426.388933
93,26,2312.192263
93.25,26,2197.995592
93.5,26,2126.61448
93.75,26,2055.233368
94,26,2015.668924
94.25,26,1976.10448
94.5,26,1926.132256
94.75,26,1876.160032
95,26,1823.627254
89,26.25,2618.363378
89.25,26.25,2700.048937
89.5,26.25,2675.758934
89.75,26.25,2651.468932
90,26.25,2628.440048
90.25,26.25,2605.411163
90.5,26.25,2595.228939
90.75,26.25,2585.046715
91,26.25,2524.391159
91.25,26.25,2463.735603
91.5,26.25,2401.1856
91.75,26.25,2338.635596
92,26.25,2340.390039
92.25,26.25,2342.144482
92.5,26.25,2289.515594
92.75,26.25,2236.886707
93,26.25,2195.815594
93.25,26.25,2154.744482
93.5,26.25,2118.158924
93.75,26.25,2081.573367
94,26.25,2054.478922
94.25,26.25,2027.384477
94.5,26.25,1975.823366
94.75,26.25,1924.262255
95,26.25,1836.381144
88.75,26.5,2570.013375
89,26.5,2636.908377
89.25,26.5,2703.803378
