x,y,Mean
93.5,24.75,1340.94447
93.75,24.75,1241.295581
94,24.75,1211.817801
93,25,1659.331695
93.25,25,1386.791133
93.5,25,1344.887246
93.75,25,1302.983358
94,25,1268.536134
94.25,25,1234.088911
94.5,25,1219.62891
92.75,25.25,1989.631154
93,25.25,1661.31003
93.25,25.25,1332.988907
93.5,25.25,1348.830021
93.75,25.25,1364.671134
94,25.25,1325.254467
94.25,25.25,1285.8378
94.5,25.25,1269.765577
92.5,25.5,2196.051705
92.75,25.5,1835.968927
93,25.5,1602.665585
93.25,25.5,1369.362242
93.5,25.5,1347.570577
93.75,25.5,1325.778912
94,25.5,1312.485024
94.25,25.5,1299.191136
94.5,25.5,1277.78669
94.75,25.5,1256.382244
89.75,25.75,1734.124478
90,25.75,1819.796702
92.25,25.75,2269.577813
92.5,25.75,1975.942256
92.75,25.75,1682.306699
93,25.75,1544.021139
93.25,25.75,1405.735578
93.5,25.75,1346.311134
93.75,25.75,1286.88669
94,25.75,1299.715581
94.25,25.75,1312.544472
94.5,25.75,1285.807802
94.75,25.75,1259.071133
95,25.75,1246.405576
89.25,26,1856.803368
89.5,26,1845.135033
89.75,26,1833.466698
90,26,1846.888368
90.25,26,1860.310038
90.5,26,1911.645039
90.75,26,1962.98004
91,26,2041.607263
91.25,26,2120.234486
91.5,26,2142.023375
91.75,26,2163.812265
92,26,2041.811703
92.25,26,1919.811141
92.5,26,1755.363919
92.75,26,1590.916696
93,26,1496.765026
93.25,26,1402.613356
93.5,26,1357.275022
93.75,26,1311.936689
94,26,1313.35169
94.25,26,1314.766691
94.5,26,1294.238357
94.75,26,1273.710023
95,26,1245.026133
89,26.25,2001.734479
89.25,26.25,2038.935593
89.5,26.25,1985.872256
89.75,26.25,1932.808919
90,26.25,1873.980034
90.25,26.25,1815.15115
90.5,26.25,1787.845592
90.75,26.25,1760.540035
91,26.25,1714.896701
91.25,26.25,1669.253367
91.5,26.25,1619.045587
91.75,26.25,1568.837806
92,26.25,1569.441138
92.25,26.25,1570.04447
92.5,26.25,1534.785581
92.75,26.25,1499.526693
93,26.25,1449.508913
93.25,26.25,1399.491134
93.5,26.25,1368.238911
93.75,26.25,1336.986688
94,26.25,1326.987799
94.25,26.25,1316.98891
94.5,26.25,1302.668911
94.75,26.25,1288.348913
95,26.25,1243.64669
88.75,26.5,1995.424477
89,26.5,2022.928923
89.25,26.5,2050.433368
89.5,26.5,2005.378924
89.75,26.5,1960.32448
90,26.5,1901.441702
90.25,26.5,1842.558925
90.5,26.5,1811.031703
90.75,26.5,1779.504481
91,26.5,1727.787811
91.25,26.5,1676.071141
91.5,26.5,1629.449473
91.75,26.5,1582.827806
92,26.5,1549.933915
92.25,26.5,1517.040024
92.5,26.5,1479.124469
92.75,26.5,1441.208914
93,26.5,1410.064469
93.25,26.5,1378.920024
93.5,26.5,1360.970578
93.75,26.5,1343.021133
94,26.5,1341.140022
94.25,26.5,1339.258911
94.5,26.5,1331.398913
94.75,26.5,1323.538914
95,26.5,1261.143912
95.25,26.5,1198.74891
88.25,26.75,1823.251143
88.5,26.75,1924.783366
88.75,26.75,2026.315589
89,26.75,2044.123366
89.25,26.75,2061.931143
89.5,26.75,2024.885592
89.75,26.75,1987.840041
90,26.75,1928.90337
90.25,26.75,1869.9667
90.5,26.75,1834.217814
90.75,26.75,1798.468928
91,26.75,1740.678921
91.25,26.75,1682.888914
91.5,26.75,1639.85336
91.75,26.75,1596.817806
92,26.75,1530.426692
92.25,26.75,1464.035578
