x,y,Mean,,
93.5,24.75,2255.267866,,
93.75,24.75,2018.286995,Min=,746.1200132
94,24.75,1934.175253,Max=,3449.343536
93,25,2800.425916,Q1,1553.473289
93.25,25,2391.436127,Median=,1989.986991
93.5,25,2230.245256,Q3=,2247.146125
93.75,25,2069.054385,,
94,25,1984.968296,,
94.25,25,1900.882207,,
94.5,25,1872.556989,,
92.75,25.25,3198.72701,,
93,25.25,2744.675264,,
93.25,25.25,2290.623517,,
93.5,25.25,2205.222646,,
93.75,25.25,2119.821774,,
94,25.25,2035.761339,,
94.25,25.25,1951.700903,,
94.5,25.25,1911.933512,,
92.5,25.5,3429.044406,,
92.75,25.5,2942.414399,,
93,25.5,2618.992437,,
93.25,25.5,2295.570474,,
93.5,25.5,2198.598298,,
93.75,25.5,2101.626122,,
94,25.5,2033.392209,,
94.25,25.5,1965.158296,,
94.5,25.5,1919.045469,,
94.75,25.5,1872.932642,,
89.75,25.75,2473.847001,,
90,25.75,2652.983527,,
92.25,25.75,3449.343536,,
92.5,25.75,3067.722662,,
92.75,25.75,2686.101788,,
93,25.75,2493.309609,,
93.25,25.75,2300.517431,,
93.5,25.75,2191.97395,,
93.75,25.75,2083.430469,,
94,25.75,2031.023079,,
94.25,25.75,1978.615688,,
94.5,25.75,1926.157426,,
94.75,25.75,1873.699163,,
95,25.75,1853.295249,,
89.25,26,2494.96787,,
89.5,26,2531.075262,,
89.75,26,2567.182653,,
90,26,2647.725918,,
90.25,26,2728.269183,,
90.5,26,2825.726357,,
90.75,26,2923.183531,,
91,26,3035.716577,,
91.25,26,3148.249623,,
91.5,26,3176.770927,,
91.75,26,3205.292231,,
92,26,3059.910705,,
92.25,26,2914.529179,,
92.5,26,2699.589829,,
92.75,26,2484.650478,,
93,26,2368.063084,,
93.25,26,2251.47569,,
93.5,26,2179.818949,,
93.75,26,2108.162209,,
94,26,2069.249817,,
94.25,26,2030.337425,,
94.5,26,1977.780685,,
94.75,26,1925.223945,,
95,26,1868.626336,,
89,26.25,2628.359607,,
89.25,26.25,2707.73309,,
89.5,26.25,2684.125697,,
89.75,26.25,2660.518305,,
90,26.25,2642.468309,,
90.25,26.25,2624.418312,,
90.5,26.25,2616.897875,,
90.75,26.25,2609.377438,,
91,26.25,2547.499612,,
91.25,26.25,2485.621786,,
91.5,26.25,2423.668739,,
91.75,26.25,2361.715692,,
92,26.25,2370.715257,,
92.25,26.25,2379.714822,,
92.5,26.25,2331.456996,,
92.75,26.25,2283.199169,,
93,26.25,2242.816559,,
93.25,26.25,2202.433949,,
93.5,26.25,2167.663949,,
93.75,26.25,2132.893948,,
94,26.25,2107.476555,,
94.25,26.25,2082.059163,,
94.5,26.25,2029.403944,,
94.75,26.25,1976.748726,,
95,26.25,1883.957423,,
88.75,26.5,2582.899606,,
89,26.5,2644.641347,,
89.25,26.5,2706.383088,,
89.5,26.5,2689.371785,,
89.75,26.5,2672.360483,,
90,26.5,2641.327657,,
90.25,26.5,2610.29483,,
90.5,26.5,2596.476352,,
90.75,26.5,2582.657874,,
91,26.5,2520.643089,,
91.25,26.5,2458.628305,,
91.5,26.5,2403.896346,,
91.75,26.5,2349.164387,,
92,26.5,2314.311125,,
92.25,26.5,2279.457864,,
