x,y,M1970,M2014,Mean,,,
76.5,8.5,1944.121429,1950.076136,-5.954707364,,,
77.5,8.5,1128.8625,1134.305114,-5.442613636,,Min=,-214.8057793
78.5,8.5,1432.457857,1465.596591,-33.13873391,,Q1=,-33.27010956
76.5,9.5,2058.043929,1950.522727,107.5212017,,median=,-1.050852273
77.5,9.5,1513.551429,1392.303977,121.2474517,,Q3=,66.73347395
78.5,9.5,879.5996429,895.7642045,-16.16456165,,Max=,276.3122074
79.5,9.5,1345.7425,1389.641477,-43.89897727,,,
76.5,10.5,2351.970714,2309.641477,42.32923673,,,
77.5,10.5,1098.993214,1066.111932,32.88128218,,,
78.5,10.5,894.0646429,920.0909091,-26.02626619,,,
79.5,10.5,1146.981429,1199.711932,-52.73050282,,,
75.5,11.5,2282.083214,2196.3875,85.695714,,,
76.5,11.5,1689.277143,1590.034091,99.24305209,,,
77.5,11.5,803.355,813.7431818,-10.38818182,,,
78.5,11.5,916.8960714,946.3721591,-29.47608769,,,
79.5,11.5,1205.288214,1258.84375,-53.555536,,,
75.5,12.5,2844.257857,2767.545455,76.71240245,,,
76.5,12.5,1196.671786,1184.773295,11.89849055,,,
77.5,12.5,819.4728571,842.7380682,-23.26521108,,,
78.5,12.5,895.0207143,939.0068182,-43.98610388,,,
79.5,12.5,1135.309643,1170.053409,-34.74376609,,,
80.5,12.5,1212.894286,1241.290909,-28.39662309,,,
74.5,13.5,2798.35,2945.203409,-146.8534091,,,
75.5,13.5,1476.915714,1403.724432,73.19128218,,,
76.5,13.5,731.1014286,725.3556818,5.745746782,,,
77.5,13.5,731.6103571,802.7392045,-71.12884745,,,
78.5,13.5,692.8167857,793.8886364,-101.0718507,,,
79.5,13.5,973.9478571,1017.072727,-43.12487017,,,
80.5,13.5,1110.428571,1146.847727,-36.41915627,,,
74.5,14.5,2223.643929,2209.434091,14.20983809,,,
75.5,14.5,1013.245357,963.8960227,49.34933427,,,
76.5,14.5,587.9032143,591.2392045,-3.335990245,,,
77.5,14.5,557.4592857,583.0715909,-25.61230521,,,
78.5,14.5,645.3478571,707.7482955,-62.40043835,,,
