x,y,M1970,M2014,Mean,,,
76.5,8.5,938.015,919.1329545,18.8820455,,,
77.5,8.5,355.1364286,345.7301136,9.406315,,Min=,-196.0432143
78.5,8.5,416.7728571,436.5977273,-19.8248702,,Q1=,-18.99899758
76.5,9.5,1134.570714,1072.673864,61.89685,,Median=,8.7618344
77.5,9.5,655.7428571,608.0193182,47.7235389,,Q3=,58.0973655
78.5,9.5,197.8489286,200.3090909,-2.4601623,,Max=,274.955795
79.5,9.5,309.9735714,367.1738636,-57.2002922,,,
76.5,10.5,1577.078571,1541.397727,35.680844,,,
77.5,10.5,472.7464286,457.8159091,14.9305195,,,
78.5,10.5,334.1057143,365.4409091,-31.3351948,,,
79.5,10.5,269.6546429,311.1079545,-41.4533116,,,
75.5,11.5,1662.1225,1648.95,13.1725,,,
76.5,11.5,1083.691786,1031.509091,52.182695,,,
77.5,11.5,333.4292857,349.0295455,-15.6002598,,,
78.5,11.5,374.0260714,398.8295455,-24.8034741,,,
79.5,11.5,344.6871429,382.6596591,-37.9725162,,,
75.5,12.5,2303.492857,2297.3125,6.180357,,,
76.5,12.5,727.7760714,762.2119318,-34.4358604,,,
77.5,12.5,387.3085714,427.2892045,-39.9806331,,,
78.5,12.5,424.6925,461.1409091,-36.4484091,,,
79.5,12.5,432.9553571,450.4909091,-17.535552,,,
80.5,12.5,369.4814286,412.8818182,-43.4003896,,,
74.5,13.5,2350.934286,2539.096591,-188.162305,,,
75.5,13.5,1074.607857,1049.180114,25.427743,,,
76.5,13.5,370.2296429,390.6460227,-20.4163798,,,
77.5,13.5,396.3967857,458.7846591,-62.3878734,,,
78.5,13.5,349.8060714,419.4721591,-69.6660877,,,
79.5,13.5,385.1317857,426.5431818,-41.4113961,,,
80.5,13.5,394.7528571,435.2068182,-40.4539611,,,
74.5,14.5,1883.849643,1890.214773,-6.36513,,,
75.5,14.5,697.9010714,676.2369318,21.6641396,,,
76.5,14.5,302.7621429,313.6414773,-10.8793344,,,
77.5,14.5,311.0907143,322.1767045,-11.0859902,,,
78.5,14.5,383.6592857,399.6545455,-15.9952598,,,
79.5,14.5,358.1471429,370.8852273,-12.7380844,,,
80.5,14.5,469.7421429,495.9272727,-26.1851298,,,
73.5,15.5,2138.127857,2326.338636,-188.210779,,,
74.5,15.5,1505.366071,1325.571023,179.795048,,,
75.5,15.5,455.0889286,443.2568182,11.8321104,,,
76.5,15.5,300.0235714,316.0414773,-16.0179059,,,
77.5,15.5,357.3064286,371.8448864,-14.5384578,,,
78.5,15.5,403.4307143,427.4147727,-23.9840584,,,
79.5,15.5,377.0507143,402.5465909,-25.4958766,,,
80.5,15.5,542.6032143,573.4335227,-30.8303084,,,
73.5,16.5,1773.934643,1968.729545,-194.794902,,,
74.5,16.5,850.1110714,810.5664773,39.5445941,,,
75.5,16.5,423.9142857,458.9727273,-35.0584416,,,
76.5,16.5,427.83,468.9346591,-41.1046591,,,
77.5,16.5,568.8371429,605.1971591,-36.3600162,,,
78.5,16.5,529.49,561.2073864,-31.7173864,,,
79.5,16.5,521.5621429,548.1431818,-26.5810389,,,
80.5,16.5,599.0589286,644.4471591,-45.3882305,,,
81.5,16.5,682.7421429,703.5318182,-20.7896753,,,
82.5,16.5,697.8385714,742.0795455,-44.2409741,,,
73.5,17.5,1611.481071,1798.469318,-186.988247,,,
74.5,17.5,584.355,630.4073864,-46.0523864,,,
75.5,17.5,486.1971429,523.2352273,-37.0380844,,,
76.5,17.5,578.8207143,614.2255682,-35.4048539,,,
