x,y,M1920,M1990,Mean,,,
76.5,8.5,911.3375,904.458,6.8795,,,
77.5,8.5,374.75875,339.772,34.98675,,,
78.5,8.5,448.0975,421.936,26.1615,,,
76.5,9.5,1156.21875,1055.362,100.85675,,Min=,-502.774
77.5,9.5,700.675,579.956,120.719,,Q1=,-47.0906875
78.5,9.5,234.12,179.561,54.559,,Median=,-6.928375
79.5,9.5,371.20125,331.771,39.43025,,Q3=,57.961875
76.5,10.5,1536.8025,1534.027,2.7755,,Max=,306.97975
77.5,10.5,491.41875,444.144,47.27475,,,
78.5,10.5,348.9625,345.075,3.8875,,,
79.5,10.5,302.585,287.487,15.098,,,
75.5,11.5,1608.79,1646.942,-38.152,,,
76.5,11.5,1144.18625,1036.973,107.21325,,,
77.5,11.5,353.38875,338.816,14.57275,,,
78.5,11.5,404.34875,383.847,20.50175,,,
79.5,11.5,371.64375,360.864,10.77975,,,
75.5,12.5,2222.13625,2291.175,-69.03875,,,
76.5,12.5,735.9375,775.838,-39.9005,,,
77.5,12.5,405.14125,431.698,-26.55675,,,
78.5,12.5,475.4325,453.903,21.5295,,,
79.5,12.5,462.89125,438.549,24.34225,,,
80.5,12.5,369.2525,396.356,-27.1035,,,
74.5,13.5,2240.27,2541.584,-301.314,,,
75.5,13.5,1035.77,1051.141,-15.371,,,
76.5,13.5,385.535,395.034,-9.499,,,
77.5,13.5,417.0775,463.886,-46.8085,,,
78.5,13.5,367.495,411.523,-44.028,,,
79.5,13.5,388.96125,416.856,-27.89475,,,
80.5,13.5,387.095,426.398,-39.303,,,
74.5,14.5,1815.8375,1913.641,-97.8035,,,
75.5,14.5,687.7675,682.529,5.2385,,,
76.5,14.5,323.0725,314.844,8.2285,,,
77.5,14.5,318.88,330.322,-11.442,,,
78.5,14.5,389.52125,408.802,-19.28075,,,
79.5,14.5,359.14375,372.042,-12.89825,,,
80.5,14.5,465.08,502.182,-37.102,,,
73.5,15.5,2002.6325,2355,-352.3675,,,
74.5,15.5,1440.2275,1333.636,106.5915,,,
75.5,15.5,451.9675,443.812,8.1555,,,
76.5,15.5,315.025,322.404,-7.379,,,
77.5,15.5,361.35125,384.803,-23.45175,,,
78.5,15.5,391.87875,439.424,-47.54525,,,
79.5,15.5,371.1775,399.978,-28.8005,,,
80.5,15.5,544.33875,585.099,-40.76025,,,
73.5,16.5,1608.60125,2020.997,-412.39575,,,
74.5,16.5,824.0875,833.731,-9.6435,,,
75.5,16.5,408.48625,460.509,-52.02275,,,
76.5,16.5,424.9975,472.037,-47.0395,,,
77.5,16.5,565.205,619.423,-54.218,,,
78.5,16.5,522.09125,579.062,-56.97075,,,
79.5,16.5,525.995,557.431,-31.436,,,
80.5,16.5,578.4225,660.454,-82.0315,,,
81.5,16.5,657.16875,725.594,-68.42525,,,
82.5,16.5,655.6875,751.36,-95.6725,,,
73.5,17.5,1466.955,1860.058,-393.103,,,
74.5,17.5,568.6525,655.687,-87.0345,,,
75.5,17.5,469.905,546.332,-76.427,,,
76.5,17.5,578.24375,638.75,-60.50625,,,
77.5,17.5,703.70875,733.328,-29.61925,,,
78.5,17.5,652.94875,693.044,-40.09525,,,
79.5,17.5,667.4125,707.597,-40.1845,,,
80.5,17.5,735.2125,826.229,-91.0165,,,
81.5,17.5,752.94375,799.993,-47.04925,,,
82.5,17.5,746.9775,793.49,-46.5125,,,
72.5,18.5,1502.255,1792.056,-289.801,,,
73.5,18.5,1129.37375,1392.601,-263.22725,,,
74.5,18.5,534.86375,613.147,-78.28325,,,
75.5,18.5,537.75125,608.301,-70.54975,,,
76.5,18.5,705.24125,751.067,-45.82575,,,
77.5,18.5,822.6075,857.808,-35.2005,,,
78.5,18.5,759.8625,908.163,-148.3005,,,
79.5,18.5,748.62625,838.419,-89.79275,,,
80.5,18.5,880.30375,927.42,-47.11625,,,
81.5,18.5,979.95125,987.108,-7.15675,,,
82.5,18.5,990.405,980.026,10.379,,,
83.5,18.5,734.64125,744.263,-9.62175,,,
84.5,18.5,1023.7275,1066.3,-42.5725,,,
72.5,19.5,1622.01,2124.784,-502.774,,,
73.5,19.5,1176.41375,1340.844,-164.43025,,,
74.5,19.5,540.93,596.584,-55.654,,,
75.5,19.5,584.75,633.523,-48.773,,,
76.5,19.5,676.53375,741.249,-64.71525,,,
77.5,19.5,772.10125,802.918,-30.81675,,,
78.5,19.5,848.05375,927.791,-79.73725,,,
79.5,19.5,827.5775,928.167,-100.5895,,,
80.5,19.5,996.08125,1022.954,-26.87275,,,
81.5,19.5,1129.53375,1080.635,48.89875,,,
82.5,19.5,1130.7425,1083.469,47.2735,,,
83.5,19.5,934.97875,935.342,-0.36325,,,
84.5,19.5,798.635,838.865,-40.23,,,
85.5,19.5,954.04375,1034.531,-80.48725,,,
70.5,20.5,510.985,930.214,-419.229,,,
71.5,20.5,709.86,1074.396,-364.536,,,
72.5,20.5,1238.3125,1530.938,-292.6255,,,
73.5,20.5,1268.10125,1521.029,-252.92775,,,
74.5,20.5,651.89875,792.439,-140.54025,,,
75.5,20.5,577.99125,642.008,-64.01675,,,
76.5,20.5,668.4075,674.501,-6.0935,,,
77.5,20.5,697.5075,723.223,-25.7155,,,
78.5,20.5,935.2725,933.691,1.5815,,,
79.5,20.5,1082.69875,1083.005,-0.30625,,,
80.5,20.5,1135.14,1076.32,58.82,,,
81.5,20.5,1117.29375,1039.246,78.04775,,,
82.5,20.5,1127.8,1045.786,82.014,,,
83.5,20.5,1059.9025,1021.834,38.0685,,,
84.5,20.5,997.60875,1008.891,-11.28225,,,
85.5,20.5,988.12625,1046.96,-58.83375,,,
86.5,20.5,1148.2325,1196.709,-48.4765,,,
69.5,21.5,485.77875,704.964,-219.18525,,,
70.5,21.5,477.87375,687.545,-209.67125,,,
71.5,21.5,646.6275,700.405,-53.7775,,,
72.5,21.5,754.24125,922.451,-168.20975,,,
73.5,21.5,1057.12,1193.055,-135.935,,,
74.5,21.5,687.015,803.246,-116.231,,,
75.5,21.5,568.9825,660.921,-91.9385,,,
76.5,21.5,685.47625,745.972,-60.49575,,,
77.5,21.5,757.6,843.231,-85.631,,,
78.5,21.5,926.05375,962.217,-36.16325,,,
79.5,21.5,1156.85625,1139.064,17.79225,,,
80.5,21.5,1289.675,1202.406,87.269,,,
81.5,21.5,1131.03625,1029.383,101.65325,,,
82.5,21.5,1204.52,1087.635,116.885,,,
83.5,21.5,1290.385,1187.475,102.91,,,
84.5,21.5,1145.80625,1109.283,36.52325,,,
85.5,21.5,983.56125,976.3,7.26125,,,
86.5,21.5,1098.89875,1118.022,-19.12325,,,
87.5,21.5,1261.28,1358.603,-97.323,,,
88.5,21.5,1364.1625,1453.648,-89.4855,,,
69.5,22.5,448.6375,559.433,-110.7955,,,
70.5,22.5,487.6475,606.653,-119.0055,,,
71.5,22.5,484.54125,577.101,-92.55975,,,
72.5,22.5,630.34875,742.369,-112.02025,,,
73.5,22.5,853.65375,908.802,-55.14825,,,
74.5,22.5,728.28625,780.909,-52.62275,,,
75.5,22.5,722.92625,826.057,-103.13075,,,
76.5,22.5,813.855,938.247,-124.392,,,
77.5,22.5,932.615,1067.702,-135.087,,,
78.5,22.5,924.13125,1071.916,-147.78475,,,
79.5,22.5,1047.60125,1134.394,-86.79275,,,
80.5,22.5,1149.31625,1144.599,4.71725,,,
81.5,22.5,1075.875,984.662,91.213,,,
82.5,22.5,1178.4375,1039.545,138.8925,,,
83.5,22.5,1234.19875,1090.212,143.98675,,,
84.5,22.5,1108.64375,1024.062,84.58175,,,
85.5,22.5,1010.26125,949.017,61.24425,,,
86.5,22.5,1146.61375,1083.18,63.43375,,,
87.5,22.5,1143.6775,1182.293,-38.6155,,,
88.5,22.5,1174.72375,1274.599,-99.87525,,,
92.5,22.5,2077.3425,1957.061,120.2815,,,
68.5,23.5,258.83875,279.563,-20.72425,,,
69.5,23.5,286.02625,312.796,-26.76975,,,
70.5,23.5,383.7075,416.785,-33.0775,,,
71.5,23.5,456.7225,503.827,-47.1045,,,
72.5,23.5,641.45875,717.791,-76.33225,,,
73.5,23.5,801.67,857.333,-55.663,,,
74.5,23.5,853.96125,912.121,-58.15975,,,
75.5,23.5,834.0675,886.994,-52.9265,,,
76.5,23.5,744.55125,809.988,-65.43675,,,
77.5,23.5,882.345,998.501,-116.156,,,
78.5,23.5,956.64625,1094.607,-137.96075,,,
79.5,23.5,998.8925,1082.849,-83.9565,,,
80.5,23.5,991.3375,1002.594,-11.2565,,,
