x,y,Mean
76.5,8.5,911.3375
77.5,8.5,374.75875
78.5,8.5,448.0975
76.5,9.5,1156.21875
77.5,9.5,700.675
78.5,9.5,234.12
79.5,9.5,371.20125
76.5,10.5,1536.8025
77.5,10.5,491.41875
78.5,10.5,348.9625
79.5,10.5,302.585
75.5,11.5,1608.79
76.5,11.5,1144.18625
77.5,11.5,353.38875
78.5,11.5,404.34875
79.5,11.5,371.64375
75.5,12.5,2222.13625
76.5,12.5,735.9375
77.5,12.5,405.14125
78.5,12.5,475.4325
79.5,12.5,462.89125
80.5,12.5,369.2525
74.5,13.5,2240.27
75.5,13.5,1035.77
76.5,13.5,385.535
77.5,13.5,417.0775
78.5,13.5,367.495
79.5,13.5,388.96125
80.5,13.5,387.095
74.5,14.5,1815.8375
75.5,14.5,687.7675
76.5,14.5,323.0725
77.5,14.5,318.88
78.5,14.5,389.52125
79.5,14.5,359.14375
80.5,14.5,465.08
73.5,15.5,2002.6325
74.5,15.5,1440.2275
75.5,15.5,451.9675
76.5,15.5,315.025
77.5,15.5,361.35125
78.5,15.5,391.87875
79.5,15.5,371.1775
80.5,15.5,544.33875
73.5,16.5,1608.60125
74.5,16.5,824.0875
75.5,16.5,408.48625
76.5,16.5,424.9975
77.5,16.5,565.205
78.5,16.5,522.09125
79.5,16.5,525.995
80.5,16.5,578.4225
81.5,16.5,657.16875
82.5,16.5,655.6875
73.5,17.5,1466.955
74.5,17.5,568.6525
75.5,17.5,469.905
76.5,17.5,578.24375
77.5,17.5,703.70875
78.5,17.5,652.94875
79.5,17.5,667.4125
80.5,17.5,735.2125
81.5,17.5,752.94375
82.5,17.5,746.9775
72.5,18.5,1502.255
73.5,18.5,1129.37375
74.5,18.5,534.86375
75.5,18.5,537.75125
76.5,18.5,705.24125
77.5,18.5,822.6075
78.5,18.5,759.8625
79.5,18.5,748.62625
80.5,18.5,880.30375
81.5,18.5,979.95125
82.5,18.5,990.405
83.5,18.5,734.64125
84.5,18.5,1023.7275
72.5,19.5,1622.01
73.5,19.5,1176.41375
74.5,19.5,540.93
75.5,19.5,584.75
76.5,19.5,676.53375
77.5,19.5,772.10125
78.5,19.5,848.05375
79.5,19.5,827.5775
80.5,19.5,996.08125
81.5,19.5,1129.53375
82.5,19.5,1130.7425
83.5,19.5,934.97875
84.5,19.5,798.635
85.5,19.5,954.04375
70.5,20.5,510.985
71.5,20.5,709.86
72.5,20.5,1238.3125
