x,y,Mean
76.5,8.5,938.015
77.5,8.5,355.1364286
78.5,8.5,416.7728571
76.5,9.5,1134.570714
77.5,9.5,655.7428571
78.5,9.5,197.8489286
79.5,9.5,309.9735714
76.5,10.5,1577.078571
77.5,10.5,472.7464286
78.5,10.5,334.1057143
79.5,10.5,269.6546429
75.5,11.5,1662.1225
76.5,11.5,1083.691786
77.5,11.5,333.4292857
78.5,11.5,374.0260714
79.5,11.5,344.6871429
75.5,12.5,2303.492857
76.5,12.5,727.7760714
77.5,12.5,387.3085714
78.5,12.5,424.6925
79.5,12.5,432.9553571
80.5,12.5,369.4814286
74.5,13.5,2350.934286
75.5,13.5,1074.607857
76.5,13.5,370.2296429
77.5,13.5,396.3967857
78.5,13.5,349.8060714
79.5,13.5,385.1317857
80.5,13.5,394.7528571
74.5,14.5,1883.849643
75.5,14.5,697.9010714
76.5,14.5,302.7621429
77.5,14.5,311.0907143
78.5,14.5,383.6592857
79.5,14.5,358.1471429
80.5,14.5,469.7421429
73.5,15.5,2138.127857
74.5,15.5,1505.366071
75.5,15.5,455.0889286
76.5,15.5,300.0235714
77.5,15.5,357.3064286
78.5,15.5,403.4307143
79.5,15.5,377.0507143
80.5,15.5,542.6032143
73.5,16.5,1773.934643
74.5,16.5,850.1110714
75.5,16.5,423.9142857
76.5,16.5,427.83
77.5,16.5,568.8371429
78.5,16.5,529.49
79.5,16.5,521.5621429
80.5,16.5,599.0589286
81.5,16.5,682.7421429
82.5,16.5,697.8385714
73.5,17.5,1611.481071
74.5,17.5,584.355
75.5,17.5,486.1971429
76.5,17.5,578.8207143
77.5,17.5,697.3610714
78.5,17.5,647.1035714
79.5,17.5,675.0989286
80.5,17.5,771.8535714
81.5,17.5,790.6767857
82.5,17.5,756.0346429
72.5,18.5,1601.917857
73.5,18.5,1172.543214
74.5,18.5,549.8860714
75.5,18.5,560.1992857
76.5,18.5,713.0496429
77.5,18.5,844.8064286
78.5,18.5,819.3692857
79.5,18.5,808.2578571
80.5,18.5,929.7235714
81.5,18.5,1017.993929
82.5,18.5,999.6428571
83.5,18.5,740.7139286
84.5,18.5,1043.791786
72.5,19.5,1892.582143
73.5,19.5,1230.978929
74.5,19.5,548.2371429
75.5,19.5,608.1489286
76.5,19.5,702.9125
77.5,19.5,817.7482143
78.5,19.5,897.3846429
79.5,19.5,909.9703571
80.5,19.5,1051.183571
81.5,19.5,1155.867143
82.5,19.5,1167.557857
83.5,19.5,969.9725
84.5,19.5,827.2189286
85.5,19.5,991.5946429
70.5,20.5,677.0692857
71.5,20.5,880.0085714
72.5,20.5,1428.395714
73.5,20.5,1397.555
74.5,20.5,708.0760714
75.5,20.5,619.0789286
76.5,20.5,704.6839286
77.5,20.5,748.1332143
78.5,20.5,956.6564286
79.5,20.5,1103.096786
80.5,20.5,1131.173929
81.5,20.5,1126.240357
82.5,20.5,1162.872143
83.5,20.5,1105.890714
84.5,20.5,1044.060357
85.5,20.5,1037.3875
86.5,20.5,1199.721786
69.5,21.5,557.3746429
70.5,21.5,537.3757143
71.5,21.5,624.4160714
72.5,21.5,807.2946429
73.5,21.5,1119.123929
74.5,21.5,765.3525
75.5,21.5,631.9296429
76.5,21.5,759.4442857
77.5,21.5,847.4114286
78.5,21.5,973.1035714
79.5,21.5,1167.555357
80.5,21.5,1279.707857
81.5,21.5,1134.164643
82.5,21.5,1236.631071
83.5,21.5,1345.544643
84.5,21.5,1198.735357
85.5,21.5,1030.43
86.5,21.5,1137.122143
87.5,21.5,1285.667857
88.5,21.5,1368.045
69.5,22.5,468.5489286
70.5,22.5,504.4460714
71.5,22.5,505.4728571
72.5,22.5,685.4960714
73.5,22.5,903.2542857
74.5,22.5,793.2832143
75.5,22.5,813.9314286
76.5,22.5,929.3839286
77.5,22.5,1068.186429
78.5,22.5,1037.542143
79.5,22.5,1134.195357
80.5,22.5,1206.864643
81.5,22.5,1096.439286
82.5,22.5,1201.456429
83.5,22.5,1281.68
84.5,22.5,1161.6475
85.5,22.5,1056.403214
86.5,22.5,1177.271786
87.5,22.5,1155.980357
88.5,22.5,1172.798929
92.5,22.5,2013.178571
68.5,23.5,287.5192857
69.5,23.5,280.3328571
70.5,23.5,378.8907143
71.5,23.5,483.8282143
72.5,23.5,696.7707143
73.5,23.5,868.545
74.5,23.5,931.3096429
75.5,23.5,912.1185714
76.5,23.5,831.9235714
77.5,23.5,1017.707143
78.5,23.5,1113.595
79.5,23.5,1121.247857
80.5,23.5,1063.8725
81.5,23.5,987.515
82.5,23.5,1068.223214
83.5,23.5,1109.278214
84.5,23.5,1090.028571
85.5,23.5,1161.371786
86.5,23.5,1141.162143
87.5,23.5,1116.602857
88.5,23.5,1059.803571
91.5,23.5,1772.718929
92.5,23.5,1930.458214
93.5,23.5,1814.02
68.5,24.5,199.9371429
69.5,24.5,231.3428571
70.5,24.5,280.1732143
71.5,24.5,380.1792857
72.5,24.5,566.0803571
73.5,24.5,628.5139286
74.5,24.5,777.4339286
75.5,24.5,819.3867857
76.5,24.5,796.9471429
77.5,24.5,952.5992857
78.5,24.5,1033.656429
79.5,24.5,1064.445
80.5,24.5,1034.383214
81.5,24.5,982.4221429
82.5,24.5,964.9114286
83.5,24.5,957.6910714
84.5,24.5,980.7907143
85.5,24.5,1016.155357
86.5,24.5,1062.581786
87.5,24.5,1147.253214
88.5,24.5,1202.707857
91.5,24.5,2039.337143
92.5,24.5,2074.870714
93.5,24.5,1471.490714
94.5,24.5,1177.913929
70.5,25.5,203.5628571
71.5,25.5,257.7089286
72.5,25.5,357.4464286
73.5,25.5,460.8478571
74.5,25.5,567.3739286
75.5,25.5,689.6353571
76.5,25.5,808.8660714
77.5,25.5,866.8657143
78.5,25.5,872.2428571
79.5,25.5,895.6839286
80.5,25.5,905.5660714
81.5,25.5,893.9357143
82.5,25.5,896.8985714
83.5,25.5,915.1225
84.5,25.5,936.7571429
85.5,25.5,980.3382143
86.5,25.5,1080.598214
87.5,25.5,1283.101071
88.5,25.5,1511.527857
90.5,25.5,2122.267857
91.5,25.5,3061.763571
92.5,25.5,2302.9125
93.5,25.5,1403.1075
94.5,25.5,1322.971786
70.5,26.5,160.1196429
71.5,26.5,201.6975
72.5,26.5,264.2235714
73.5,26.5,348.8975
74.5,26.5,463.4382143
75.5,26.5,572.245
76.5,26.5,684.4728571
77.5,26.5,728.3239286
78.5,26.5,731.2571429
79.5,26.5,770.5357143
80.5,26.5,828.545
81.5,26.5,921.3025
82.5,26.5,1019.957143
83.5,26.5,1135.239643
84.5,26.5,1258.9125
