x,y,Mean
76.5,8.5,1950.076136
77.5,8.5,1134.305114
78.5,8.5,1465.596591
76.5,9.5,1950.522727
77.5,9.5,1392.303977
78.5,9.5,895.7642045
79.5,9.5,1389.641477
76.5,10.5,2309.641477
77.5,10.5,1066.111932
78.5,10.5,920.0909091
79.5,10.5,1199.711932
75.5,11.5,2196.3875
76.5,11.5,1590.034091
77.5,11.5,813.7431818
78.5,11.5,946.3721591
79.5,11.5,1258.84375
75.5,12.5,2767.545455
76.5,12.5,1184.773295
77.5,12.5,842.7380682
78.5,12.5,939.0068182
79.5,12.5,1170.053409
80.5,12.5,1241.290909
74.5,13.5,2945.203409
75.5,13.5,1403.724432
76.5,13.5,725.3556818
77.5,13.5,802.7392045
78.5,13.5,793.8886364
79.5,13.5,1017.072727
80.5,13.5,1146.847727
74.5,14.5,2209.434091
75.5,14.5,963.8960227
76.5,14.5,591.2392045
77.5,14.5,583.0715909
78.5,14.5,707.7482955
79.5,14.5,926.4386364
80.5,14.5,1003.253409
73.5,15.5,2571.918182
74.5,15.5,1596.274432
75.5,15.5,690.0909091
76.5,15.5,551.3306818
77.5,15.5,594.25625
78.5,15.5,697.9920455
79.5,15.5,832.3090909
80.5,15.5,1028.508523
73.5,16.5,2173.490341
74.5,16.5,1038.372159
75.5,16.5,683.5113636
76.5,16.5,685.9471591
77.5,16.5,810.1357955
78.5,16.5,792.1352273
79.5,16.5,848.1880682
80.5,16.5,986.0409091
81.5,16.5,1124.002273
82.5,16.5,1235.856818
73.5,17.5,1963.930114
74.5,17.5,821.5392045
75.5,17.5,717.0170455
76.5,17.5,817.8801136
77.5,17.5,912.5897727
78.5,17.5,877.9522727
79.5,17.5,921.5022727
80.5,17.5,1076.914773
81.5,17.5,1125.557386
82.5,17.5,1202.256818
72.5,18.5,1869.072727
73.5,18.5,1455.021023
74.5,18.5,733.6642045
75.5,18.5,737.0051136
76.5,18.5,889.6698864
77.5,18.5,1006.791477
78.5,18.5,1060.425568
79.5,18.5,1008.33125
80.5,18.5,1135.139773
81.5,18.5,1261.121023
82.5,18.5,1287.055114
83.5,18.5,1071.726705
84.5,18.5,1426.21875
72.5,19.5,2144.306818
73.5,19.5,1388.015909
74.5,19.5,690.7511364
75.5,19.5,752.9903409
76.5,19.5,865.9880682
77.5,19.5,937.3107955
78.5,19.5,1057.721023
79.5,19.5,1065.560227
80.5,19.5,1174.382386
81.5,19.5,1268.701705
82.5,19.5,1312.138636
83.5,19.5,1177.490341
84.5,19.5,1168.895455
85.5,19.5,1357.63125
70.5,20.5,927.7386364
71.5,20.5,1071.373864
72.5,20.5,1535.315909
73.5,20.5,1551.2125
74.5,20.5,846.7744318
75.5,20.5,726.1715909
76.5,20.5,793.2971591
77.5,20.5,857.5420455
78.5,20.5,1056.717045
79.5,20.5,1188.357386
80.5,20.5,1185.824432
81.5,20.5,1174.173864
82.5,20.5,1218.226136
83.5,20.5,1213.629545
84.5,20.5,1263.240909
85.5,20.5,1368.305114
86.5,20.5,1589.217045
69.5,21.5,689.8875
70.5,21.5,680.0465909
71.5,21.5,690.90625
72.5,21.5,920.0982955
73.5,21.5,1209.822159
74.5,21.5,835.2164773
75.5,21.5,716.0744318
76.5,21.5,846.9835227
77.5,21.5,975.1664773
78.5,21.5,1094.676705
79.5,21.5,1246.828409
80.5,21.5,1315.765341
81.5,21.5,1165.273295
82.5,21.5,1250.903409
83.5,21.5,1358.55625
84.5,21.5,1323.382955
85.5,21.5,1281.936364
86.5,21.5,1513.752273
87.5,21.5,1797.223864
88.5,21.5,1920.559091
69.5,22.5,541.4852273
70.5,22.5,604.2778409
71.5,22.5,570.7857955
72.5,22.5,716.7414773
73.5,22.5,907.8659091
74.5,22.5,804.3829545
75.5,22.5,891.8977273
76.5,22.5,1026.352273
77.5,22.5,1177.061364
78.5,22.5,1183.680114
79.5,22.5,1238.89375
80.5,22.5,1277.830682
81.5,22.5,1130.832386
82.5,22.5,1211.567045
83.5,22.5,1298.159091
84.5,22.5,1258.70625
85.5,22.5,1224.432386
86.5,22.5,1405.309659
87.5,22.5,1549.5875
88.5,22.5,1703.207386
92.5,22.5,2807.851136
68.5,23.5,295.2022727
69.5,23.5,314.6130682
70.5,23.5,418.4505682
71.5,23.5,502.9471591
72.5,23.5,722.0090909
73.5,23.5,855.04375
74.5,23.5,925.8045455
75.5,23.5,924.88125
76.5,23.5,866.0670455
77.5,23.5,1075.819318
78.5,23.5,1192.1375
79.5,23.5,1183.208523
80.5,23.5,1118.310227
81.5,23.5,1026.790341
82.5,23.5,1095.638636
83.5,23.5,1139.740909
84.5,23.5,1166.628977
85.5,23.5,1274.502273
86.5,23.5,1272.136364
87.5,23.5,1357.796591
88.5,23.5,1431.66875
91.5,23.5,2492.781818
92.5,23.5,2854.332386
93.5,23.5,2605.851705
68.5,24.5,202.7255682
69.5,24.5,246.7573864
70.5,24.5,299.2448864
71.5,24.5,411.8443182
72.5,24.5,592.6278409
73.5,24.5,637.6585227
74.5,24.5,785.925
75.5,24.5,828.2164773
76.5,24.5,807.2039773
77.5,24.5,973.5642045
78.5,24.5,1076.046591
79.5,24.5,1098.961364
80.5,24.5,1059.055682
81.5,24.5,1007.263636
82.5,24.5,983.9772727
83.5,24.5,982.4477273
84.5,24.5,1022.334091
85.5,24.5,1078.721591
86.5,24.5,1138.519886
87.5,24.5,1287.952273
88.5,24.5,1506.944886
91.5,24.5,3050.051705
92.5,24.5,3217.303409
93.5,24.5,2266.802841
94.5,24.5,1757.302841
70.5,25.5,225.0357955
71.5,25.5,296.2335227
72.5,25.5,407.3573864
73.5,25.5,499.5431818
74.5,25.5,600.3306818
75.5,25.5,709.8971591
76.5,25.5,814.3914773
77.5,25.5,883.0477273
78.5,25.5,902.4159091
79.5,25.5,920.7875
80.5,25.5,921.5954545
81.5,25.5,898.0028409
82.5,25.5,907.0232955
83.5,25.5,943.6119318
84.5,25.5,1012.892614
85.5,25.5,1069.036364
86.5,25.5,1139.575
87.5,25.5,1455.836932
88.5,25.5,1857.170455
90.5,25.5,3073.186932
91.5,25.5,4291.109659
92.5,25.5,3339.247727
93.5,25.5,2127.371591
94.5,25.5,1840.441477
70.5,26.5,183.0511364
71.5,26.5,234.4443182
72.5,26.5,318.9914773
73.5,26.5,418.0227273
74.5,26.5,539.7136364
75.5,26.5,641.0107955
76.5,26.5,729.8454545
77.5,26.5,755.6994318
78.5,26.5,771.7585227
79.5,26.5,801.6653409
80.5,26.5,834.8267045
81.5,26.5,905.9505682
82.5,26.5,1045.047727
83.5,26.5,1204.794886
84.5,26.5,1354.254545
85.5,26.5,1361.263068
86.5,26.5,1395.471591
87.5,26.5,1803.965341
88.5,26.5,2407.022159
89.5,26.5,2682.778409
90.5,26.5,2584.817045
91.5,26.5,2373.213636
92.5,26.5,2166.088068
93.5,26.5,2065.759659
94.5,26.5,2015.153409
95.5,26.5,1768.054545
69.5,27.5,127.8886364
70.5,27.5,162.5539773
71.5,27.5,203.8125
72.5,27.5,264.1704545
73.5,27.5,347.3306818
74.5,27.5,445.2278409
75.5,27.5,545.9215909
76.5,27.5,644.0215909
77.5,27.5,694.8176136
78.5,27.5,753.3147727
79.5,27.5,837.7017045
80.5,27.5,959.4960227
81.5,27.5,1111.515341
82.5,27.5,1384.160227
83.5,27.5,1756.260227
84.5,27.5,2074.088068
88.5,27.5,1682.629545
89.5,27.5,1654.249432
90.5,27.5,1943.049432
91.5,27.5,1912.123295
92.5,27.5,1641.385227
93.5,27.5,1814.294886
94.5,27.5,1982.69375
95.5,27.5,1940.155114
96.5,27.5,1550.625568
97.5,27.5,1393.328977
70.5,28.5,145.5255682
71.5,28.5,177.08125
72.5,28.5,230.1727273
73.5,28.5,295.6738636
74.5,28.5,367.46875
75.5,28.5,457.6630682
76.5,28.5,598.4011364
77.5,28.5,759.0289773
78.5,28.5,862.2971591
79.5,28.5,1042.855682
80.5,28.5,1232.461364
81.5,28.5,1333.666477
88.5,28.5,1047.131818
91.5,28.5,942.1886364
92.5,28.5,861.4232955
93.5,28.5,1072.719318
94.5,28.5,1368.340341
95.5,28.5,1335.447159
96.5,28.5,1023.334659
97.5,28.5,840.9352273
72.5,29.5,223.8590909
73.5,29.5,285.5357955
74.5,29.5,360.9948864
75.5,29.5,465.9971591
76.5,29.5,642.5318182
77.5,29.5,836.3181818
78.5,29.5,975.7056818
79.5,29.5,1118.852273
80.5,29.5,1155.780682
94.5,29.5,725.8823864
95.5,29.5,822.1926136
96.5,29.5,662.8568182
73.5,30.5,365.6982955
74.5,30.5,461.3289773
75.5,30.5,581.6295455
76.5,30.5,762.7602273
77.5,30.5,928.0034091
78.5,30.5,945.0875
79.5,30.5,768.5840909
80.5,30.5,603.8414773
74.5,31.5,669.2005682
75.5,31.5,783.7204545
76.5,31.5,899.4721591
77.5,31.5,852.5363636
78.5,31.5,740.9670455
79.5,31.5,519.8568182
74.5,32.5,878.9181818
75.5,32.5,896.6085227
76.5,32.5,724.1784091
77.5,32.5,505.5255682
78.5,32.5,381.9335227
79.5,32.5,299.85625
73.5,33.5,1095.267614
74.5,33.5,929.9931818
75.5,33.5,741.6477273
76.5,33.5,487.2164773
77.5,33.5,341.3278409
78.5,33.5,249.3630682
79.5,33.5,200.1875
73.5,34.5,987.2636364
74.5,34.5,719.5465909
75.5,34.5,492.9960227
76.5,34.5,348.0676136
77.5,34.5,226.3869318
78.5,34.5,157.1176136
79.5,34.5,128.3698864
73.5,35.5,591.4897727
74.5,35.5,458.6590909
75.5,35.5,351.2534091
76.5,35.5,251.8039773
77.5,35.5,180.5352273
78.5,35.5,137.8375
79.5,35.5,109.6244318
80.5,35.5,96.81534091
72.5,36.5,518.9795455
73.5,36.5,409.9403409
74.5,36.5,293.69375
75.5,36.5,244.3482955
78.5,36.5,88.61931818
79.5,36.5,67.55852273
