x,y,Mean,Std,,,
76.5,8.5,1946.419737,313.3010322,,,
77.5,8.5,1130.963158,156.0082,,,
78.5,8.5,1445.248246,215.2285889,,,
76.5,9.5,2016.544518,259.5859427,,Min=,62.74013158
77.5,9.5,1466.754167,213.7927707,,Q1=,681.4026316
78.5,9.5,885.8385965,159.3303697,,Median,977.8404605
79.5,9.5,1362.685965,280.0918714,,Q3=,1326.766064
76.5,10.5,2335.633114,303.0339296,,Max=,4340.09057
77.5,10.5,1086.302193,171.2854464,,,
78.5,10.5,904.1098684,175.3497771,,,
79.5,10.5,1167.333553,236.4104655,,,
75.5,11.5,2249.007675,368.5396734,,,
76.5,11.5,1650.972807,239.9032805,,,
77.5,11.5,807.3644737,144.021427,,,
78.5,11.5,928.272807,179.5814507,,,
79.5,11.5,1225.958772,258.8526982,,,
75.5,12.5,2814.649561,445.2320925,,,
76.5,12.5,1192.079386,203.4860401,,,
77.5,12.5,828.4524123,160.7048383,,,
78.5,12.5,911.997807,175.0919802,,,
79.5,12.5,1148.719518,223.5366602,,,
80.5,12.5,1223.854386,268.5968046,,,
74.5,13.5,2855.030263,461.2881958,,,
75.5,13.5,1448.666447,244.0016677,,,
76.5,13.5,728.8837719,141.4939719,,,
77.5,13.5,759.0635965,169.7538239,,,
78.5,13.5,731.8269737,160.1450228,,,
79.5,13.5,990.5925439,210.0395472,,,
80.5,13.5,1124.485088,250.6091411,,,
74.5,14.5,2218.15943,362.9268404,,,
75.5,14.5,994.1982456,166.7294939,,,
76.5,14.5,589.1907895,120.0309985,,,
77.5,14.5,567.3447368,134.5078615,,,
78.5,14.5,669.4322368,143.1662388,,,
79.5,14.5,888.9912281,191.5334466,,,
80.5,14.5,981.7074561,205.3985449,,,
73.5,15.5,2462.154386,454.2011617,,,
74.5,15.5,1731.179167,304.7381734,,,
75.5,15.5,719.6475877,133.0197982,,,
76.5,15.5,543.8824561,119.8685921,,,
77.5,15.5,571.0008772,118.9788814,,,
78.5,15.5,651.3438596,143.946095,,,
79.5,15.5,779.2414474,188.4100659,,,
80.5,15.5,995.2421053,227.9350124,,,
73.5,16.5,2064.416447,384.5757524,,,
74.5,16.5,1078.698246,221.1611912,,,
75.5,16.5,655.4309211,152.9249385,,,
76.5,16.5,644.6796053,152.8322762,,,
77.5,16.5,768.8736842,172.223554,,,
78.5,16.5,746.2368421,158.3246329,,,
79.5,16.5,802.2653509,180.3009277,,,
80.5,16.5,934.8894737,209.0254643,,,
81.5,16.5,1102.532018,244.7615377,,,
82.5,16.5,1196.955702,262.8254537,,,
73.5,17.5,1858.232895,362.0801936,,,
74.5,17.5,799.8004386,178.9643725,,,
75.5,17.5,681.4835526,160.7968145,,,
76.5,17.5,771.5324561,178.2965052,,,
77.5,17.5,879.4861842,188.6729762,,,
78.5,17.5,843.3096491,187.8255683,,,
79.5,17.5,887.9796053,185.1219062,,,
80.5,17.5,1026.724123,202.8305723,,,
81.5,17.5,1110.848684,198.8460932,,,
82.5,17.5,1177.119079,222.8850792,,,
72.5,18.5,1784.64693,434.7700278,,,
73.5,18.5,1366.8375,299.6119332,,,
74.5,18.5,717.9469298,175.6449819,,,
75.5,18.5,719.9377193,179.2921659,,,
76.5,18.5,869.3138158,196.8705503,,,
77.5,18.5,991.7995614,213.3717396,,,
78.5,18.5,994.7006579,209.6257832,,,
79.5,18.5,982.385307,191.2483813,,,
80.5,18.5,1131.850658,190.3081585,,,
81.5,18.5,1273.740132,204.4972286,,,
82.5,18.5,1297.555263,204.6806558,,,
83.5,18.5,1076.7125,200.6836897,,,
84.5,18.5,1424.448465,267.6792424,,,
72.5,19.5,2033.857895,516.4073132,,,
73.5,19.5,1357.934868,269.8194011,,,
74.5,19.5,681.3756579,168.0756661,,,
75.5,19.5,744.9302632,179.1538609,,,
76.5,19.5,847.3765351,204.3909468,,,
77.5,19.5,941.458114,209.7728568,,,
78.5,19.5,1041.796491,193.4647449,,,
79.5,19.5,1059.630482,193.9721242,,,
80.5,19.5,1200.09057,188.9199422,,,
81.5,19.5,1320.319518,218.0935218,,,
82.5,19.5,1361.085965,223.1244878,,,
83.5,19.5,1205.982675,182.3241417,,,
84.5,19.5,1181.542544,193.1382536,,,
85.5,19.5,1355.562061,224.8913308,,,
70.5,20.5,795.8403509,372.1657316,,,
71.5,20.5,978.0640351,357.3231113,,,
72.5,20.5,1502.763158,436.2831195,,,
73.5,20.5,1503.94364,335.1369036,,,
74.5,20.5,822.510307,177.4859966,,,
75.5,20.5,726.3462719,149.4925239,,,
76.5,20.5,808.1162281,163.7902963,,,
77.5,20.5,864.1741228,184.0365658,,,
78.5,20.5,1078.449342,203.8651467,,,
79.5,20.5,1224.942982,224.0334461,,,
80.5,20.5,1240.035307,215.438002,,,
81.5,20.5,1233.76864,190.4994068,,,
82.5,20.5,1280.973465,194.111118,,,
83.5,20.5,1260.473684,178.0057923,,,
84.5,20.5,1287.180263,184.2700715,,,
85.5,20.5,1367.451754,231.8825785,,,
86.5,20.5,1587.566667,292.976213,,,
69.5,21.5,628.1710526,299.4592585,,,
70.5,21.5,607.1291667,246.8793166,,,
71.5,21.5,667.6910088,236.7285943,,,
72.5,21.5,874.9598684,265.1441411,,,
73.5,21.5,1183.550219,283.3673394,,,
74.5,21.5,832.6361842,186.5241394,,,
75.5,21.5,711.5923246,149.2058129,,,
76.5,21.5,846.3074561,177.4686585,,,
77.5,21.5,965.3480263,214.7593879,,,
78.5,21.5,1108.380482,215.9086988,,,
79.5,21.5,1296.01886,237.0337543,,,
80.5,21.5,1383.763377,247.8431698,,,
81.5,21.5,1232.031798,192.4613287,,,
82.5,21.5,1328.914912,199.5003488,,,
83.5,21.5,1436.885526,216.3738184,,,
84.5,21.5,1366.978947,196.3072513,,,
85.5,21.5,1298.218202,213.8149448,,,
86.5,21.5,1509.177412,245.1313567,,,
87.5,21.5,1737.073465,265.5521033,,,
88.5,21.5,1862.644298,269.6553237,,,
69.5,22.5,510.2995614,250.0277634,,,
70.5,22.5,559.9245614,232.633416,,,
71.5,22.5,546.727193,191.3947886,,,
72.5,22.5,713.0177632,223.2636997,,,
73.5,22.5,924.4118421,263.2079849,,,
74.5,22.5,824.379386,215.3283418,,,
75.5,22.5,886.1372807,216.9633438,,,
76.5,22.5,1016.042105,237.72403,,,
77.5,22.5,1169.400877,255.7976728,,,
78.5,22.5,1170.635965,238.2206863,,,
79.5,22.5,1272.900877,218.4719929,,,
80.5,22.5,1341.278947,209.2743871,,,
81.5,22.5,1202.237719,194.1754758,,,
82.5,22.5,1294.519079,221.2158559,,,
83.5,22.5,1387.723026,251.4613973,,,
84.5,22.5,1320.128947,228.2070218,,,
85.5,22.5,1267.294079,201.8217124,,,
86.5,22.5,1446.255044,215.5247928,,,
87.5,22.5,1515.400877,219.8076997,,,
88.5,22.5,1620.099561,265.7228544,,,
92.5,22.5,2828.76886,387.3715895,,,
68.5,23.5,304.6217105,163.330951,,,
69.5,23.5,304.475,158.6528794,,,
70.5,23.5,404.8410088,178.7637883,,,
71.5,23.5,502.2225877,200.8256728,,,
72.5,23.5,724.6842105,250.0091541,,,
73.5,23.5,886.9142544,251.7336658,,,
74.5,23.5,960.5958333,217.8597401,,,
75.5,23.5,957.6436404,207.8879073,,,
76.5,23.5,889.7524123,183.0273037,,,
77.5,23.5,1092.879386,239.5007069,,,
78.5,23.5,1209.9125,290.0642925,,,
79.5,23.5,1220.707237,232.154425,,,
80.5,23.5,1170.835965,196.5441864,,,
81.5,23.5,1088.334649,175.4900008,,,
82.5,23.5,1172.925219,215.3670705,,,
83.5,23.5,1225.257675,266.2955548,,,
84.5,23.5,1238.970395,259.3892914,,,
85.5,23.5,1343.82193,235.9580981,,,
86.5,23.5,1340.373904,222.9448396,,,
87.5,23.5,1391.138816,221.0294825,,,
88.5,23.5,1426.88443,193.9931628,,,
91.5,23.5,2583.388816,356.2117693,,,
92.5,23.5,2898.445833,389.0042083,,,
93.5,23.5,2649.262939,378.3991554,,,
68.5,24.5,212.6657895,129.0016629,,,
69.5,24.5,246.702193,136.0932462,,,
70.5,24.5,296.7723684,143.696165,,,
71.5,24.5,403.6530702,172.2425427,,,
72.5,24.5,596.5923246,224.6533451,,,
73.5,24.5,664.4440789,193.752823,,,
74.5,24.5,816.9804825,211.897531,,,
75.5,24.5,860.1995614,224.9579784,,,
76.5,24.5,838.9173246,215.0669528,,,
77.5,24.5,1010.755044,241.6579101,,,
78.5,24.5,1109.262939,257.2981252,,,
79.5,24.5,1142.449123,244.6939262,,,
80.5,24.5,1114.325219,224.0976275,,,
81.5,24.5,1067.267763,221.4910265,,,
82.5,24.5,1052.200658,211.3013379,,,
83.5,24.5,1051.703728,220.0941333,,,
84.5,24.5,1087.785746,231.455642,,,
85.5,24.5,1145.854386,218.6147135,,,
86.5,24.5,1215.80636,228.2961677,,,
87.5,24.5,1366.413596,248.7775026,,,
88.5,24.5,1547.932018,222.2419933,,,
91.5,24.5,3109.269298,472.7761005,,,
92.5,24.5,3266.705921,467.4619395,,,
93.5,24.5,2305.553509,317.5768554,,,
94.5,24.5,1801.563816,242.3412986,,,
70.5,25.5,222.6252193,115.9087551,,,
71.5,25.5,285.9122807,125.3629581,,,
72.5,25.5,393.4212719,159.7285919,,,
73.5,25.5,498.9287281,174.1031387,,,
74.5,25.5,607.0638158,189.8058384,,,
75.5,25.5,727.372807,225.3610884,,,
76.5,25.5,845.4098684,236.5583594,,,
77.5,25.5,914.8162281,211.8215274,,,
78.5,25.5,929.4067982,197.5100929,,,
79.5,25.5,957.8019737,180.8169823,,,
80.5,25.5,969.266886,199.030641,,,
81.5,25.5,955.5486842,241.7676169,,,
82.5,25.5,960.8984649,219.8177768,,,
83.5,25.5,990.6263158,202.560131,,,
84.5,25.5,1046.447368,236.9490813,,,
85.5,25.5,1113.316447,246.2039812,,,
86.5,25.5,1229.221491,232.9489795,,,
87.5,25.5,1515.379605,233.9891234,,,
88.5,25.5,1885.001754,274.1121325,,,
90.5,25.5,3062.904386,394.8048746,,,
91.5,25.5,4340.09057,688.7075373,,,
92.5,25.5,3391.693421,496.4361572,,,
93.5,25.5,2174.19693,280.1760959,,,
94.5,25.5,1898.063158,234.4666596,,,
70.5,26.5,181.5464912,92.37713389,,,
71.5,26.5,230.1462719,101.6390106,,,
72.5,26.5,304.9401316,129.936147,,,
73.5,26.5,397.5188596,163.0273392,,,
74.5,26.5,519.260307,179.3993067,,,
75.5,26.5,631.1317982,201.9434962,,,
76.5,26.5,737.3504386,198.4674584,,,
77.5,26.5,775.5164474,189.3238745,,,
78.5,26.5,789.4052632,187.4182679,,,
79.5,26.5,832.9320175,172.9642079,,,
80.5,26.5,890.0989035,179.6214911,,,
81.5,26.5,977.616886,219.3915766,,,
82.5,26.5,1093.915789,229.5560023,,,
83.5,26.5,1242.412719,249.7357648,,,
84.5,26.5,1404.094737,269.8205688,,,
85.5,26.5,1446.068202,299.5547458,,,
86.5,26.5,1462.427851,281.1803972,,,
87.5,26.5,1815.911184,311.5373892,,,
88.5,26.5,2402.760746,330.7099231,,,
89.5,26.5,2653.047368,368.0793684,,,
90.5,26.5,2540.841447,310.3248302,,,
91.5,26.5,2330.823465,298.6813402,,,
92.5,26.5,2180.836842,263.1153784,,,
93.5,26.5,2118.999561,245.0533615,,,
94.5,26.5,2085.525877,242.6462312,,,
95.5,26.5,1834.976316,213.0330947,,,
69.5,27.5,125.1905702,74.18940507,,,
70.5,27.5,156.8359649,82.16938305,,,
71.5,27.5,197.2688596,90.55674952,,,
72.5,27.5,254.1675439,108.8129467,,,
73.5,27.5,329.489693,133.2238006,,,
74.5,27.5,427.6085526,151.9271675,,,
75.5,27.5,526.2907895,165.0624231,,,
76.5,27.5,624.2517544,177.8501256,,,
77.5,27.5,688.4157895,178.97224,,,
78.5,27.5,771.7427632,180.3520985,,,
79.5,27.5,893.0315789,184.4980331,,,
80.5,27.5,1065.126316,228.4191104,,,
81.5,27.5,1212.046711,244.6756506,,,
82.5,27.5,1448.003947,284.5530096,,,
83.5,27.5,1821.999123,328.1178678,,,
84.5,27.5,2153.942544,369.8303563,,,
88.5,27.5,1680.238816,191.6044556,,,
89.5,27.5,1628.783772,197.6007474,,,
90.5,27.5,1903.1125,222.7222267,,,
91.5,27.5,1875.710746,213.8146203,,,
92.5,27.5,1637.975219,173.8436926,,,
93.5,27.5,1840.375439,183.6390076,,,
94.5,27.5,2048.772807,236.1260156,,,
95.5,27.5,2013.920614,239.8982206,,,
96.5,27.5,1600.177412,179.5131668,,,
97.5,27.5,1431.312719,171.4036527,,,
70.5,28.5,137.6234649,71.13159882,,,
71.5,28.5,166.9548246,74.12114224,,,
72.5,28.5,216.0179825,87.51700615,,,
73.5,28.5,277.5010965,113.3946883,,,
74.5,28.5,349.0212719,123.4952451,,,
75.5,28.5,432.6510965,131.0676078,,,
76.5,28.5,562.0135965,162.9815357,,,
77.5,28.5,725.8315789,198.7716127,,,
78.5,28.5,884.6482456,194.5579384,,,
79.5,28.5,1136.833772,247.0213118,,,
80.5,28.5,1402.126754,327.9025608,,,
81.5,28.5,1466.312061,284.6433553,,,
88.5,28.5,1046.616228,134.6630684,,,
91.5,28.5,931.9403509,124.6967461,,,
92.5,28.5,866.8107456,115.5174594,,,
93.5,28.5,1087.582237,127.8248755,,,
94.5,28.5,1396.745395,147.4913958,,,
95.5,28.5,1373.722588,154.3419752,,,
96.5,28.5,1050.485526,117.5331185,,,
97.5,28.5,861.1160088,104.664264,,,
72.5,29.5,205.0662281,69.76941462,,,
73.5,29.5,258.8798246,85.92087781,,,
74.5,29.5,343.4302632,102.1070982,,,
75.5,29.5,446.2519737,116.3712691,,,
76.5,29.5,615.4258772,148.3857555,,,
77.5,29.5,863.8114035,179.1362832,,,
78.5,29.5,1041.103947,217.3179204,,,
79.5,29.5,1228.02193,290.5799669,,,
80.5,29.5,1256.549781,257.9538471,,,
94.5,29.5,729.2239035,86.70513711,,,
95.5,29.5,833.0570175,91.2974652,,,
96.5,29.5,675.6239035,78.7162332,,,
73.5,30.5,321.9600877,96.45778524,,,
74.5,30.5,420.7241228,116.6426064,,,
75.5,30.5,563.1537281,151.8933595,,,
76.5,30.5,789.2067982,165.8914099,,,
77.5,30.5,1042.845614,210.5084512,,,
78.5,30.5,1054.625,205.0640938,,,
79.5,30.5,831.9600877,163.9300984,,,
80.5,30.5,628.8067982,114.9989901,,,
74.5,31.5,592.1445175,167.9161682,,,
75.5,31.5,765.9877193,188.522978,,,
76.5,31.5,971.475,190.5534995,,,
77.5,31.5,949.4578947,184.566165,,,
78.5,31.5,810.3809211,153.0090316,,,
79.5,31.5,557.1627193,108.4614986,,,
