x,y,Mean,Std,,,
76.5,8.5,930.727193,249.5709888,,,
77.5,8.5,351.5059211,101.7748465,,,
78.5,8.5,424.4245614,176.6890569,,Min=,0.734868421
76.5,9.5,1110.680702,214.6660148,,Q1=,439.0010965
77.5,9.5,637.3232456,151.7569841,,Median=,776.794079
78.5,9.5,198.7984649,88.65002853,,Q3=,1085.528783
79.5,9.5,332.0508772,224.686199,,Max=,3036.034868
76.5,10.5,1563.307018,259.496552,,,
77.5,10.5,466.9837719,113.6023001,,,
78.5,10.5,346.2,124.8681343,,,
79.5,10.5,285.6541667,134.1895747,,,
75.5,11.5,1657.038377,329.0632866,,,
76.5,11.5,1063.551096,201.4396888,,,
77.5,11.5,339.4504386,81.01944184,,,
78.5,11.5,383.5993421,108.9585332,,,
79.5,11.5,359.3432018,115.9838303,,,
75.5,12.5,2301.107456,420.2677411,,,
76.5,12.5,741.0671053,161.5544537,,,
77.5,12.5,402.739693,109.559235,,,
78.5,12.5,438.760307,123.0401368,,,
79.5,12.5,439.7234649,111.4279654,,,
80.5,12.5,386.2324561,114.8974656,,,
74.5,13.5,2423.558333,422.353674,,,
75.5,13.5,1064.79364,222.7318234,,,
76.5,13.5,378.1096491,94.37338081,,,
77.5,13.5,420.4763158,125.4136991,,,
78.5,13.5,376.6947368,109.5397315,,,
79.5,13.5,401.1151316,110.4114531,,,
80.5,13.5,410.3666667,125.1704526,,,
74.5,14.5,1886.30636,322.0805947,,,
75.5,14.5,689.5394737,146.9202692,,,
76.5,14.5,306.9611842,83.01703232,,,
77.5,14.5,315.3695175,96.70260774,,,
78.5,14.5,389.8328947,108.5477703,,,
79.5,14.5,363.0635965,103.4397312,,,
80.5,14.5,479.8486842,141.9663952,,,
73.5,15.5,2210.770614,417.0381414,,,
74.5,15.5,1435.971491,283.833627,,,
75.5,15.5,450.5221491,106.8453326,,,
76.5,15.5,306.2059211,88.46386726,,,
77.5,15.5,362.9177632,93.32625502,,,
78.5,15.5,412.6877193,110.401607,,,
79.5,15.5,386.8912281,111.4204953,,,
80.5,15.5,554.5026316,152.5905482,,,
73.5,16.5,1849.11864,352.1057201,,,
74.5,16.5,834.8482456,201.5373173,,,
75.5,16.5,437.445614,115.5375119,,,
76.5,16.5,443.6949561,119.4281487,,,
77.5,16.5,582.8708333,144.0463553,,,
78.5,16.5,541.7317982,128.7459275,,,
79.5,16.5,531.8214912,133.1646982,,,
80.5,16.5,616.577193,156.7150385,,,
81.5,16.5,690.7662281,176.7926109,,,
82.5,16.5,714.9140351,178.4630672,,,
73.5,17.5,1683.651974,330.8907084,,,
74.5,17.5,602.1296053,156.1952651,,,
75.5,17.5,500.4925439,134.9560243,,,
76.5,17.5,592.4857456,157.1076059,,,
77.5,17.5,699.5833333,169.7928087,,,
78.5,17.5,656.7182018,155.5825194,,,
79.5,17.5,680.3258772,152.9972205,,,
80.5,17.5,784.8195175,165.5248861,,,
81.5,17.5,789.4592105,152.6709364,,,
82.5,17.5,769.2666667,170.4029477,,,
72.5,18.5,1655.759211,400.5063311,,,
73.5,18.5,1231.085746,280.7665675,,,
74.5,18.5,561.7927632,151.3989745,,,
75.5,18.5,565.7552632,157.7672791,,,
76.5,18.5,714.6578947,171.6866086,,,
77.5,18.5,839.5118421,194.0131467,,,
78.5,18.5,844.5245614,187.0636568,,,
79.5,18.5,812.3221491,164.7570573,,,
80.5,18.5,924.1725877,160.0141652,,,
81.5,18.5,1005.087939,171.2726017,,,
82.5,18.5,993.0690789,174.9264419,,,
83.5,18.5,742.0285088,146.0494909,,,
84.5,18.5,1051.241667,222.999699,,,
72.5,19.5,1956.37193,505.7568299,,,
73.5,19.5,1251.971491,258.2879949,,,
74.5,19.5,554.7491228,148.5051756,,,
75.5,19.5,610.0872807,159.5443524,,,
76.5,19.5,712.6756579,179.9270778,,,
77.5,19.5,810.1471491,188.2600025,,,
78.5,19.5,900.0401316,179.809837,,,
79.5,19.5,906.8642544,173.2568316,,,
80.5,19.5,1033.918421,166.686994,,,
81.5,19.5,1127.283772,195.0479864,,,
82.5,19.5,1139.553728,199.406132,,,
83.5,19.5,955.8910088,147.779639,,,
84.5,19.5,827.8140351,128.7621379,,,
85.5,19.5,1001.522149,173.5009848,,,
70.5,20.5,752.7350877,362.1931245,,,
71.5,20.5,931.4714912,346.5080947,,,
72.5,20.5,1442.817544,427.2704262,,,
73.5,20.5,1423.772588,324.8454239,,,
74.5,20.5,723.8785088,165.5258798,,,
75.5,20.5,618.9769737,137.6377852,,,
76.5,20.5,695.470614,151.5313602,,,
77.5,20.5,743.1594298,167.359436,,,
78.5,20.5,940.8410088,186.7418469,,,
79.5,20.5,1079.840132,199.0575987,,,
80.5,20.5,1101.919298,192.1563144,,,
81.5,20.5,1093.699123,169.4741693,,,
82.5,20.5,1126.655044,175.2535105,,,
83.5,20.5,1079.017325,156.4946777,,,
84.5,20.5,1030.316667,153.2098619,,,
85.5,20.5,1036.721272,188.3948952,,,
86.5,20.5,1196.535746,235.4324383,,,
69.5,21.5,590.8561404,288.6429949,,,
70.5,21.5,577.8785088,238.2567887,,,
71.5,21.5,636.3243421,229.2748189,,,
72.5,21.5,831.7789474,259.6591358,,,
73.5,21.5,1130.322588,277.2212499,,,
74.5,21.5,766.6131579,177.6133988,,,
75.5,21.5,636.1421053,140.2398277,,,
76.5,21.5,759.8188596,167.1306863,,,
77.5,21.5,854.7745614,200.2548502,,,
78.5,21.5,965.6800439,192.289431,,,
79.5,21.5,1139.651535,210.1443956,,,
80.5,21.5,1241.690132,226.1756657,,,
81.5,21.5,1096.708114,171.2753551,,,
82.5,21.5,1191.44693,180.4317648,,,
83.5,21.5,1299.677632,199.458418,,,
84.5,21.5,1172.327193,175.1708324,,,
85.5,21.5,1015.200658,173.5424481,,,
86.5,21.5,1131.245175,195.1808947,,,
87.5,21.5,1308.527851,223.9193966,,,
88.5,21.5,1391.435088,230.8038797,,,
69.5,22.5,484.0903509,245.1919453,,,
70.5,22.5,528.4269737,225.7934629,,,
71.5,22.5,518.2350877,185.7363143,,,
72.5,22.5,685.1028509,220.4822471,,,
73.5,22.5,888.4026316,259.3228362,,,
74.5,22.5,777.7684211,207.8099681,,,
75.5,22.5,816.5462719,205.5525011,,,
76.5,22.5,936.6263158,229.07233,,,
77.5,22.5,1074.46864,246.6053456,,,
78.5,22.5,1048.073465,222.220241,,,
79.5,22.5,1117.183991,201.2051873,,,
80.5,22.5,1173.070175,188.2441633,,,
81.5,22.5,1057.103728,172.1121123,,,
82.5,22.5,1153.422807,200.8821537,,,
83.5,22.5,1229.458553,228.7812542,,,
84.5,22.5,1125.409868,201.9772814,,,
85.5,22.5,1027.721711,169.6877329,,,
86.5,22.5,1147.813377,187.4811772,,,
87.5,22.5,1165.289035,192.3466994,,,
88.5,22.5,1207.853509,235.7243477,,,
92.5,22.5,2006.007018,316.1744605,,,
68.5,23.5,281.1607456,160.6784833,,,
69.5,23.5,284.5083333,155.4253724,,,
70.5,23.5,383.2905702,175.8429104,,,
71.5,23.5,480.4030702,197.8464721,,,
72.5,23.5,692.7491228,246.8270989,,,
73.5,23.5,848.1192982,253.1398474,,,
74.5,23.5,909.2754386,217.8770208,,,
75.5,23.5,892.152193,205.7777536,,,
76.5,23.5,816.9881579,177.1324988,,,
77.5,23.5,1007.050877,228.1540148,,,
78.5,23.5,1103.233553,273.8938456,,,
79.5,23.5,1099.534649,220.0207359,,,
80.5,23.5,1034.539912,186.7800398,,,
81.5,23.5,953.2958333,160.5670015,,,
82.5,23.5,1024.942763,193.712677,,,
83.5,23.5,1060.20614,239.8590073,,,
84.5,23.5,1046.89693,229.1577173,,,
85.5,23.5,1118.644956,206.8445659,,,
86.5,23.5,1098.996272,198.9734701,,,
87.5,23.5,1092.688377,191.3612271,,,
88.5,23.5,1054.673684,160.6447981,,,
91.5,23.5,1717.780702,253.8664124,,,
92.5,23.5,1910.208333,269.7939981,,,
93.5,23.5,1805.889035,278.1895268,,,
68.5,24.5,193.7989035,126.7385848,,,
69.5,24.5,230.216886,133.4452284,,,
70.5,24.5,279.1489035,140.1515405,,,
71.5,24.5,381.691886,168.2413236,,,
72.5,24.5,561.2028509,221.3709192,,,
73.5,24.5,613.4574561,194.4437759,,,
74.5,24.5,756.7094298,211.0191307,,,
75.5,24.5,797.3734649,221.2809257,,,
76.5,24.5,775.8197368,209.678242,,,
77.5,24.5,928.6114035,232.4764524,,,
78.5,24.5,1012.696711,245.0152748,,,
79.5,24.5,1038.700877,234.1576453,,,
80.5,24.5,1002.291447,217.7312642,,,
81.5,24.5,948.3929825,214.1494369,,,
82.5,24.5,926.3684211,197.9039734,,,
83.5,24.5,917.7326754,201.5864396,,,
84.5,24.5,940.9239035,209.9919844,,,
85.5,24.5,974.1100877,194.8692589,,,
86.5,24.5,1015.220175,203.402965,,,
87.5,24.5,1098.697149,218.501586,,,
88.5,24.5,1172.209649,181.3561638,,,
91.5,24.5,2006.736623,306.7197104,,,
92.5,24.5,2052.358333,300.9527942,,,
93.5,24.5,1454.989035,213.3831646,,,
94.5,24.5,1161.646711,171.9469621,,,
70.5,25.5,203.6024123,112.4079494,,,
71.5,25.5,261.352193,119.4011388,,,
72.5,25.5,362.633114,152.4456379,,,
73.5,25.5,459.7583333,169.5744062,,,
74.5,25.5,560.0905702,185.7171474,,,
75.5,25.5,675.460307,221.3315559,,,
76.5,25.5,786.464693,233.0795676,,,
77.5,25.5,844.2905702,207.1339457,,,
78.5,25.5,854.2030702,191.6268594,,,
79.5,25.5,873.0747807,176.2895284,,,
80.5,25.5,877.127193,196.2341772,,,
81.5,25.5,859.5774123,237.8871887,,,
82.5,25.5,864.435307,214.7611518,,,
